CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.
Anchorage,Delaney Park Strip,AK,US,2018-03-24,na,1500,,1500,,,"March For Our Lives - Anchorage, Alaska",support gun control,1,march; rally,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,https://twitter.com/march4ourlifeak,https://www.adn.com/alaska-news/anchorage/2018/03/24/were-just-sick-and-tired-demonstrators-in-anchorage-protest-gun-violence/,
Fairbanks,Golden Heart Plaza,AK,US,2018-03-24,na,200,,200,,,March for Our Lives,support gun control,1,demonstration; rally,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,http://www.newsminer.com/news/local_news/fairbanksans-join-nationwide-protest-against-gun-violence/article_e5b06280-2fcc-11e8-86e0-1fe1e163000c.html,,
Homer,,AK,US,2018-03-24,,,,,,,AK-Homer-March For Our Lives,support gun control,1,march,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,http://www.ktva.com/story/37801534/anchorage-students-join-march-for-our-lives-against-gun-violence,,
Juneau,Congressional Delegation Corner,AK,US,2018-03-24,na,200,,200,,,STOP Gunning Our Nation,support gun control,1,march; rally,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,https://www.ktoo.org/2018/03/24/juneau-residents-legislators-call-for-gun-reform-at-march-for-our-lives-protest/,,
Ketchikan,131 Front Street,AK,US,2018-03-24,,,,,,,March for Our Lives,support gun control,1,march,,,,,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,,,
Utqiagvik,Barrow,AK,US,2018-03-24,na,13,,16,,,March for Our Lives,support gun control,1,march,0,0,0,0,1,1,http://www.thearcticsounder.com/article/1813utqiagvik_marches_against_gun_violence,https://www.trendsmap.com/twitter/tweet/977701190631792641,https://twitter.com/MiladyDeBennet/status/977792439770497024,Utqiagvik / Barrow
Birmingham,Railroad Park,AL,US,2018-03-24,estimated 5000,5000,,5000,,,March for Our Lives — Birmingham,support gun control,1,march,0,0,0,0,1,1,http://www.al.com/news/index.ssf/2018/03/birminghams_march_for_our_live.html,http://abc3340.com/news/local/thousands-gather-for-march-for-our-lives-in-birmingham,,
Decatur,Courthouse Square,AL,US,2018-03-24,over 100,100,,100,,,MARCH for our Lives Jasper,support gun control,1,march,0,0,0,0,1,1,http://www.nowdecatur.com/2018/03/24/march-for-our-lives-hits-the-streets-of-decatur/,,,
Dothan,Porter Park (Foster St.) to Kinney Park,AL,US,2018-03-24,more than 100,100,,100,,,March For Our Lives Wiregrass,support gun control,1,march; rally,0,0,0,0,1,1,http://www.wtvy.com/content/news/Hundreds-gather-for-March-Of-Our-Lives-Wiregrass--477846283.html,http://www.al.com/news/index.ssf/2018/03/alabamas_march_for_our_lives_2.html,,
Florence,Wilson Park,AL,US,2018-03-24,more than a hundred,100,,200,,,March For Our Lives - The Shoals,support gun control,1,march; rally,0,0,0,0,1,1,http://whnt.com/2018/03/24/florence-residents-gather-for-their-own-march-for-our-lives-event/,http://www.al.com/news/index.ssf/2018/03/alabamas_march_for_our_lives_2.html,,
Huntsville,Big Spring Park,AL,US,2018-03-24,about 70 people,70,,70,,,Huntsville March For Our Lives,support gun control,1,march; rally,0,0,0,0,1,1,http://houstonianonline.com/2018/03/28/march-for-our-lives-storms-huntsville/,,,
Jasper,Courthouse Square,AL,US,2018-03-24,,70,,70,,,MARCH for our Lives Jasper,support gun control,1,march,,,,,0,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,http://www.al.com/news/index.ssf/2018/03/alabamas_march_for_our_lives_2.html,,
Mobile,Public Safety Memorial Park,AL,US,2018-03-24,,500,,500,,,Mobile March For Our Lives,support gun control,1,march; rally,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,http://www.fox10tv.com/story/37802779/hundreds-join-the-march-for-our-lives-movement-in-mobile,http://www.al.com/news/index.ssf/2018/03/alabamas_march_for_our_lives_2.html,
Montgomery,State Capitol Building,AL,US,2018-03-24,Hundreds,200,,200,,,Montgomery March For Our Lives Walk,support gun control,1,march,0,0,0,0,1,1,http://www.waka.com/2018/03/24/hundreds-protest-montgomery-march-lives/,,,
Oxford,The Square,AL,US,2018-03-24,Hundreds,200,,200,,,Moms Demand Action - Oxford,support gun control,1,march,0,0,0,0,1,1,http://thedmonline.com/high-school-students-organize-march-for-our-lives-oxford-campaigning-for-an-end-to-gun-violence/,,,
Selma,Edmond Petus Bridge,AL,US,2018-03-24,dozens,24,,24,,,March For Our Lives Black Belt,support gun control,1,march,0,0,0,0,1,1,https://www.selmatimesjournal.com/2018/03/24/national-march-for-our-lives-campaign-reaches-selma/,http://www.al.com/news/index.ssf/2018/03/alabamas_march_for_our_lives_2.html,,
Bentonville,Downtown Bentonville Square,AR,US,2018-03-24,about 450,450,,500,,,"March for Our Lives - Bentonville, AR",support gun control,1,march,0,0,0,0,1,1,https://twitter.com/OZRKIndivisible/status/977634064202129408,http://www.arkansasonline.com/news/2018/mar/25/hundreds-participate-in-peaceful-nwa-ma/?print,https://twitter.com/annehelen/status/977726494561599488,
Eureka Springs,,AR,US,2018-03-24,picture,6,,8,,,"March for Our Lives - Bentonville, AR",support gun control,1,march,0,0,0,0,1,1,http://www.arkansasonline.com/news/2018/mar/23/more-800-march-our-lives-planned-across-country-in/,http://www.lovelycitizen.com/story/2496761.html,,
Fayetteville,College Lakes Recreation Center,AR,US,2018-03-24,well over 100,100,,100,,,"March for Our Lives - Fayetteville, AR",support gun control,1,march,0,0,0,0,1,1,http://www.fayobserver.com/news/20180324/gun-control-supporters-say-enough,,,
Fort Smith,Courthouse Steps,AR,US,2018-03-24,Over 200,200,,200,,,Fort Smith March for Our Lives,support gun control,1,march; rally,0,0,0,0,1,1,http://www.swtimes.com/news/20180325/demonstrators-in-fort-smith-join-in-march-for-our-lives,,,
Jonesboro,Jonesboro High School,AR,US,2018-03-24,more than 100,100,,100,,,AR - Jonesboro - March For Our Lives,support gun control,1,march,0,0,0,0,1,1,http://www.ksla.com/story/37802125/jonesboro-community-participates-in-nationwide-march,,,
Little Rock,State Capitol,AR,US,2018-03-24,estimated between 3000 to 3500,3000,,3500,,,Little Rock March For Our Lives,support gun control,1,rally,0,0,0,0,1,1,http://www.arkansasonline.com/news/2018/mar/24/what-democracy-looks-thousands-march-little-rock-a/,,,
Springdale,Walter Turnbow Park,AR,US,2018-03-24,150 to 200,150,,200,,,March For Our Lives,support gun control,1,march,0,0,0,0,1,1,http://www.arkansasonline.com/news/2018/mar/25/hundreds-participate-in-peaceful-nwa-ma/?print,,,
Flagstaff,Lawn at City Hall,AZ,US,2018-03-24,More than 750,750,,750,,,Flagstaff March for Our Lives,support gun control,1,rally,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,http://azdailysun.com/news/local/photo-gallery-flagstaff-march-for-our-lives-attracts/collection_adb9f133-ec35-512d-92c5-49ac7d8b5f5d.html#8,,
Kingman,Locomotive Park,AZ,US,2018-03-24,From video: scores,40,,40,,,Kingman AZ March For Our Lives Voter Registration,support gun control,1,march; rally,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,https://kdminer.com/news/2018/mar/24/joining-march-their-lives/,,
Lake Havasu City,Wheeler Park,AZ,US,2018-03-24,dozens,24,,24,,,AZ Lake Havasu City March for Our Lives,support gun control,1,march,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,http://www.havasunews.com/news/marching-with-a-message/article_b0579dd4-2ff3-11e8-9a93-6351c0194b3f.html,,
Nogales,"Nogales ""Little"" Mercado Farmer's Market",AZ,US,2018-03-24,FB: 59,59,,59,,,March for Our Lives Payson,support gun control,1,march,0,0,0,0,1,1,https://www.facebook.com/events/1806107446076807,,,
Payson,Junction of Hgwys 260/87,AZ,US,2018-03-24,more than 100,100,,100,,,March for Our Lives Payson,support gun control,1,demonstration,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,http://www.paysonroundup.com/news/march-for-our-lives-comes-to-payson/article_69ec065d-5eda-52f5-a24f-18e3ee345ae7.html,,
Phoenix,State Capitol,AZ,US,2018-03-24,estimated 15000,15000,,25000,,,"March for Our Lives - Phoenix, AZ",support gun control,1,march; rally,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,http://www.phoenixnewtimes.com/news/phoenix-news-arizona-students-march-for-our-lives-10265198,https://www.azcentral.com/story/news/local/arizona-education/2018/03/24/thousands-gather-phoenix-march-our-lives-gun-control-school-safety/456014002/,
Prescott,Courthouse Square,AZ,US,2018-03-24,more than 1500,1500,,1500,,,Prescott March For Our Lives,support gun control,1,march,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,https://www.dcourier.com/news/2018/mar/25/march-our-lives/,,
Safford,8490 South U.S. Highway 191,AZ,US,2018-03-24,,,,,,,Safford Walk For Our Kids Lives,support gun control,1,march,,,,,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,,,
Sahuarita,Sahuarita High School,AZ,US,2018-03-24,na,400,,400,,,general protestors,support gun control,1,rally,0,0,0,0,1,1,http://www.gvnews.com/news/hundreds-in-sahuarita-join-national-gun-violence-protest/article_31a8d49c-2f91-11e8-874c-bfd7d7c2c1aa.html,,,
Sedona,Sedona Red Rock H.S,AZ,US,2018-03-24,FB: 43,43,,43,,,Sedona Marchfor Our Lives rally/march,support gun control,1,march; rally,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,https://www.facebook.com/events/226922474545234/,,
Show Low,Show Low Festival Marketplace,AZ,US,2018-03-24,about 100,100,,100,,,White Mountain March For Our Lives Rally,support gun control,1,march,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,http://www.wmicentral.com/march-for-our-lives-steps-onto-show-low-streets/article_8809df10-63cb-5d70-b09f-a3a08437c67f.html,,
Sierra Vista,Corner of Fry and Coronado,AZ,US,2018-03-24,FB: 127,127,,127,,,March For Our Lives Sierra Vista,support gun control,1,march; rally,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,https://www.facebook.com/events/127934194585344,,
Tucson,Jacome Plaza to University of Arizona,AZ,US,2018-03-24,around 7000-8000,7000,,8000,,,"March for Our Lives - Tucson, AZ",support gun control,1,march; rally,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,http://www.kvoa.com/story/37802425/tucson-students-lead-march-for-our-lives-ask-public-to-vote,,
Yuma,Yuma High School Football Field,AZ,US,2018-03-24,From video: scores,40,,40,,,Yuma March For Our Lives,support gun control,1,march,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,http://www.yumasun.com/local-student-speaks-at-march-for-our-lives-yuma/youtube_293802b2-2f9e-11e8-973a-7fd3b7adcc7b.html,,
Alameda,Park Street and Santa Clara Avenue,CA,US,2018-03-24,More than 500,500,,500,,,general protestors,support gun control,1,march,0,0,0,0,1,1,https://alamedasun.com/news/locals-protest-guns,,,
Aptos,100 Aptos Creek Road; Aptos Village Park to the State Park Drive overpass above Highway 1,CA,US,2018-03-24,hundreds,200,,200,,,March for Our Lives Aptos,support gun control,1,march,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,http://www.santacruzsentinel.com/article/NE/20180324/NEWS/180329806,,
Arcata,outside Arcata Playhouse,CA,US,2018-03-24,more than 1000,1000,,1000,,,students,support gun control,1,rally; march,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,http://www.times-standard.com/article/NJ/20180324/NEWS/180329897,https://lostcoastoutpost.com/2018/mar/24/photosvideo-roughly-1000-turn-out-locally-march-ou/,
Bakersfield,Yokuts Park,CA,US,2018-03-24,Hundreds,200,,200,,,March For Our Lives Bakersfield,support gun control,1,march,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,http://www.bakersfield.com/news/hundreds-participate-in-march-advocating-for-gun-control/article_edbd1f0a-2fbc-11e8-bebf-0f55fe0fec32.html ,,
Benicia,"90 First Street, Benicia, CA 94510",CA,US,2018-03-24,From photo: dozens,24,,24,,,Benicia March for Our Lives,support gun control,1,march,0,0,0,0,1,1,https://www.facebook.com/groups/529647794085732/,https://event.marchforourlives.com/event/march-our-lives-events/search/,https://www.dailyrepublic.com/solano-news/benicia/benicia-youth-lead-protest-for-peace/,
Bishop,Bishop City Park,CA,US,2018-03-24,,,,,,,March for our Lives ,support gun control,1,march,,,,,1,1,https://www.bloggingbishop.com/blog/2018/3/23/rally-march-for-our-lives,,,
Brea,Brea Boulevard and Birch Street,CA,US,2018-03-24,,,,,,,March for our Lives ,support gun control,,march,0,0,0,0,1,1,http://losangeles.cbslocal.com/2018/03/24/oc-march-for-our-lives-rallies/,,,
Burbank,Chandler Bike Path,CA,US,2018-03-24,estimated 4000,4000,,4000,,,March for our Lives Burbank,support gun control,1,march; rally,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,http://www.latimes.com/socal/burbank-leader/news/tn-blr-me-burbank-march-20180324-story.html,,
Burlingame,850 Burlingame Ave,CA,US,2018-03-24,about 400,400,,400,,,Burlingame March for Our Lives,support gun control,1,march,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,https://theburlingameb.org/news/2018/3/26/burlingame-march-for-our-lives-draws-crown-of-400,,
Catalina Island,,CA,US,2018-03-24,,52,,52,,,March for Our Lives,support gun control,1,protest,0,0,0,0,1,1,https://twitter.com/lisakate111/status/977767712733642752,,,
Chico,City Plaza,CA,US,2018-03-24,more than 2000,2000,,2000,,,Chico March For Our Lives,support gun control,1,rally,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,http://theorion.com/71410/news/students-organize-march-for-our-lives-in-chico/,http://www.chicoer.com/general-news/20180324/student-led-rally-calls-upon-legislators-to-protect-schools,
Coulterville,Corner of Highway 49 and highway 132,CA,US,2018-03-24,,,,,,,Coulterville March for Our Lives,support gun control,1,march,,,,,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,,,
Encinitas,Swamis Playground,CA,US,2018-03-24,FB: 99,99,,99,,,general protestors,support gun control,1,march,0,0,0,0,1,1,http://www.sandiegouniontribune.com/news/public-safety/sd-me-gun-marches-20180324-story.html,https://www.facebook.com/events/950513435098569,,
Escondido,201 N Broadway; city hall,CA,US,2018-03-24,about 500,500,,500,,,Escondido March for our Lives,support gun control,1,march,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,http://www.sandiegouniontribune.com/news/public-safety/sd-me-gun-marches-20180324-story.html,,
Fresno,Corner of North Blackstone and Nees,CA,US,2018-03-24,more than 2000,2000,,2000,,,organized by students of Fresno in conjunction with the Fresno Unified School District,support gun control,1,march; rally,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,http://www.fresnobee.com/news/local/education/article206636754.html,,
Hemet,Gibbell Park,CA,US,2018-03-24,FB: 21,21,,21,,,Hemet March for our lives #NeverAgain,support gun control,1,march; rally,,,,,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,https://www.facebook.com/events/158453958191042/,,
Huntington Beach,Lake Park,CA,US,2018-03-24,estimated 2000,2000,,2000,,,Huntington Beach March For Our Lives Walk/Rally,support gun control,1,march,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,http://www.latimes.com/socal/daily-pilot/news/tn-dpt-me-march-lives-20180324-story.html,,
Idyllwild,Village Center Drive,CA,US,2018-03-24,,,,,,,IDYLLWILD MARCH FOR OUR LIVES,support gun control,1,,,,,,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,,,
Irvine,3333 Michelson Drive,CA,US,2018-03-24,,2000,,2000,,,Irvine - March for Our Lives,support gun control,1,march,,,,,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,https://twitter.com/Posit_Ed/status/977767337754427393,,
Laguna Beach,107 S. Coast Highway,CA,US,2018-03-24,,,,,,,March For Our Lives Bakersfield,support gun control,1,march,0,0,0,0,1,1,https://patch.com/california/lagunabeach/laguna-beach-students-participate-march-our-lives-2018,http://sites.uci.edu/energyobserver/2018/03/24/the-laguna-beach-march-for-our-lives-in-photos/,,
Lancaster,701 W Kettering St,CA,US,2018-03-24,"""400 in attendance""",400,,400,,,led by teachers and students,support gun control,1,march,,,,,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,https://twitter.com/annehelen/status/977936299263840256,,
Livermore,600 Maple St,CA,US,2018-03-24,hundreds,200,,200,,,Livermore March for Our Lives,support gun control,1,rally; march,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,https://patch.com/california/livermore/tri-valley-students-will-participate-march-our-lives-2018,,
Lompoc,104 South H St.,CA,US,2018-03-24,hundreds,200,,200,,,Lompoc March For Our Lives,support gun control,1,march; rally,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,http://www.keyt.com/news/march-for-our-lives-lompocs-youth-says-enough-is-enough/720731735,,
Long Beach,130 Cherry Ave,CA,US,2018-03-24,thousands; na,2000,,5000,,,"March for Our Lives - Long Beach, CA",support gun control,1,march,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,https://www.presstelegram.com/2018/03/24/long-beach-march/,https://www.presstelegram.com/2018/03/26/tim-grobaty-column-marching-in-long-beach-behind-the-nations-new-leaders/,
Los Angeles,Pershing Square,CA,US,2018-03-24,40000 plus; more than 55000,40000,,55000,,,Students March,Rallying for gun control,1,rally; march,0,0,0,0,1,1,https://www.facebook.com/events/1489561971152365/,https://www.marchforourlivesla.com,https://www.dailynews.com/2018/03/24/thousands-expected-for-downtown-l-a-gun-control-march/,http://abc7.com/politics/march-for-our-lives-la-thousands-take-to-the-streets/3255190/
Manhattan Beach,Hermosa Beach; 2 Manhattan Beach Blvd.,CA,US,2018-03-24,more than 1000; more than 5000,1000,,5000,,,"March For Our Lives - South Bay, Los Angeles CA",support gun control,1,march,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,https://twitter.com/RosenfeldReport/status/977596097475395584,https://www.dailybreeze.com/2018/03/24/thousands-march-along-strand-in-gun-violence-protest/,
Merced,Boys and Girls Park parking lot,CA,US,2018-03-24,more than 150,150,,150,,,March for Our Lived,support gun control,1,march; rally,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,http://www.losbanosenterprise.com/latest-news/article206303059.html,,
Modesto,401 Needham St.,CA,US,2018-03-24,NA,700,,700,,,Modesto March For Our Lives,support gun control,1,march,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,http://www.modbee.com/news/local/article206488979.html,,
Monterey,Del Monte Ave,CA,US,2018-03-24,about 1000,1000,,1000,,,"March for Our Lives - Monterey, CA",support gun control,1,march,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,http://www.montereyherald.com/article/NF/20180324/NEWS/180329893,,
Morgan Hill,Morgan Hill CCC,CA,US,2018-03-24,,,,,,,South County March for Our Lives,support gun control,1,march; rally,,,,,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,,,
Napa,2425 Jefferson St,CA,US,2018-03-24,about 700,200,,700,,,Napa Valley Rally and March for Our Lives,support gun control,1,rally,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,http://napavalleyregister.com/news/local/march-for-our-lives-napa-valley-students-public-officials-gather/article_9f3cfcd4-fba5-562a-a94e-9c48ab50c4ed.html,https://twitter.com/HillaryHomzie/status/977788145407152128,
Novato,city hall,CA,US,2018-03-24,more than 800,800,,800,,,Peace Novato,support gun control,1,rally; march,0,0,0,0,1,1,http://www.marinij.com/general-news/20180324/marin-residents-join-nationwide-fight-against-gun-violence,,,
Oakland,1 Frank H Ogawa Plaza,CA,US,2018-03-24,approx 2000,2000,,2000,,,[Oakland] March for Our Lives,support gun control,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/1618334908243226/,https://event.marchforourlives.com/event/march-our-lives-events/search/,https://www.nbcbayarea.com/news/local/San-Francisco-Prepares-for-March-For-Our-Lives-Rally-477799713.html,
Orange County,,CA,US,2018-03-24,,,,,,,March for Our Lives,support gun control,1,protest,0,0,0,0,1,1,https://twitter.com/AmirTalai/status/977668199050178560,,,
Pacifica,5000 Pacific Coast Highway,CA,US,2018-03-24,from photos: hundreds,200,,200,,,Pacifica March for Our Lives,support gun control,1,march,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,https://www.youtube.com/watch?v=ptfuoPw2f44,https://twitter.com/avisplover/status/977660640863993856,
Palm Springs,2401 E Baristo Rd,CA,US,2018-03-24,thousands,2000,,2000,,,"STUDENTS March for Our Lives Coachella Valley OFFICIAL - Palm Springs, CA",support gun control,1,march,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,http://www.kesq.com/news/local-students-take-part-in-march-for-our-lives-in-palm-springs/720719772,,
Pico Rivera,6501 S. Passons Blvd,CA,US,2018-03-24,more than 200,200,,200,,,Students of El Rancho High School,support gun control,1,march; rally,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,https://www.whittierdailynews.com/2018/03/24/more-than-200-take-part-in-pico-rivera-march-pushing-for-stronger-gun-control/,,
Point Reyes,Hwy 1 at Wells Fargo Bank,CA,US,2018-03-24,about 80,80,,80,,,protestors,support gun control,1,protest,0,0,0,0,1,1,https://judithselbylang.wordpress.com/2018/03/25/march-for-our-lives/,,,
Redding,North end of the Sundial Bridge,CA,US,2018-03-24,more than 600,600,,600,,,Redding March For Our Lives,support gun control,1,rally; march,0,0,0,0,0,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,https://www.redding.com/story/news/crime/most-wanted/2018/03/24/redding-march-our-lives-they-got-shot-no-reason/453570002/,https://www.redding.com/story/news/2018/03/24/local-students-add-voices-march-our-lives-movement/456730002/,
Redwood City,Courthouse Square,CA,US,2018-03-24,From video: hundreds,200,,200,,,Redwood City March for Our Lives Rally,support gun control,1,rally,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,https://www.youtube.com/watch?v=8T-ZNO3AR2g,,
Richmond,1300 Nevin Ave; Nevin Plaza; city hall,CA,US,2018-03-24,hundreds,200,,200,,,Richmond/West County,support gun control,1,rally,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,http://richmondstandard.com/2018/03/24/watch-hundreds-attend-richmond-march-for-our-lives/,,
Riverside,4050 Main St,CA,US,2018-03-24,more than 4000,4000,,4000,,,"March for Our Lives - Riverside, CA",support gun control,1,march,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,https://www.pe.com/2018/03/24/students-in-riverside-to-march-for-solutions-to-gun-violence/,,
Rocklin,Start: 2615 Sierra Meadows. End: 4000 Rocklin Rd,CA,US,2018-03-24,na,2500,,2500,,,CA PLACER COUNTY Non-Partisan March for Our Lives,support gun control,1,march,,,,,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,https://twitter.com/corndetassler/status/977779022619844608,,
Sacramento, Crocker Park to the State Capitol; 1315 10th St,CA,US,2018-03-24,about 6000,6000,,6000,,,"March for Our Lives - Sacramento, CA",support gun control,1,march,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,http://www.abc10.com/article/news/local/march-for-our-lives-rally-draws-estimated-6000-in-sacramento/103-531646132,,
San Bernardino,1365 Waterman Avenue,CA,US,2018-03-24,more than 200; more than 600,200,,600,,,March For Lives Bernardino,support gun control,1,march,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,https://twitter.com/rmhagen/status/977595941346623488,https://www.pe.com/2018/03/24/students-in-riverside-to-march-for-solutions-to-gun-violence/,
San Clemente,242 Avenida Del Mar,CA,US,2018-03-24,hundreds,200,,200,,,March for Our Lives: South Orange County,support gun control,1,march,0,0,0,0,1,1,Instagram: [at]marchforourlives_soc,https://event.marchforourlives.com/event/march-our-lives-events/search/,http://www.sanclementetimes.com/lost-dear-frienddd-hundreds-attend-san-clemente-march-lives-protest-gun-control-laws/,
San Diego,1600 Pacific Highway,CA,US,2018-03-24,estimated 5000 to 10000,5000,,10000,,,March for Our Lives San Diego,support gun control,1,march,0,0,0,0,0,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,http://fox5sandiego.com/2018/03/24/watch-live-san-diego-march-for-our-lives-protest/,,
San Francisco ,Civic Center,CA,US,2018-03-24,some 25000; na,25000,,30000,,,general protestors,Rallying for gun control,1,rally,0,0,0,0,1,1,https://www.facebook.com/events/1593912047359305/,http://www.sfexaminer.com/sf-joins-national-march-lives-protests-thousands-rally-gun-violence/,http://goldengatexpress.org/2018/03/28/bay-area-students-follows-parklands-lead/,
San Jose,City Hall to Arena Park; 200 E Santa Clara St,CA,US,2018-03-24,several thousand,3000,,3000,,,"March for Our Lives - San Jose, CA",support gun control,1,march,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,http://www.ktvu.com/news/san-jose-students-march-through-the-streets-showing-the-world-they-arent-afraid,,intermittent rain
San Leandro,250 Dutton Ave,CA,US,2018-03-24,,,,,,,San Leandro March for Our Lives,support gun control,1,march; rally,,,,,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,,,
San Luis Obispo,1400 Osos Street,CA,US,2018-03-24,thousands,2000,,2000,,,"March for Our Lives - San Luis Obispo, CA",support gun control,1,march,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,http://www.sanluisobispo.com/news/local/article206616449.html,,
San Mateo,Beresford Park,CA,US,2018-03-24,about 300,300,,300,,,March For Our Lives San Mateo,support gun control,1,march; rally,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,https://twitter.com/joycemillman/status/977717440384614400,,
Santa Ana,3000 W Edinger Ave,CA,US,2018-03-24,about 5000,5000,,5000,,,"March for Our Lives - Orange County, CA",support gun control,1,march,0,0,0,0,1,1,https://www.facebook.com/marchforourlivesoc/,https://event.marchforourlives.com/event/march-our-lives-events/search/,http://www.latimes.com/nation/la-na-march-for-our-lives-20180324-story.html,
Santa Barbara,De La Guerra Plaza,CA,US,2018-03-24,hundreds,200,,200,,,Santa Barbara March for our Lives,support gun control,1,march,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,https://www.noozhawk.com/article/santa_barbara_gun_violence_march_for_our_lives,,
Santa Clarita,Marketplace Park,CA,US,2018-03-24,FB: 319,319,,319,,,Santa Clarita Valley - March For Our Lives,support gun control,1,march; rally,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,https://www.facebook.com/events/415813205523218/,,
Santa Monica,Kyes,CA,US,2018-03-24,thousands,2000,,2000,,,Santa Monica,support gun control,1,march,,,,,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,https://twitter.com/Jackie_Pepper/status/977619070190206976,,
Santa Maria,Santa Maria High School,CA,US,2018-03-24,over 120,120,,120,,,general protestors,support gun control,1,march,0,0,0,0,1,1,http://santamariatimes.com/news/local/santa-maria-march-for-our-lives-rallies-for-stricter-gun/article_2bef6f44-4ae3-5e3d-a2b4-0fb5f2358fa5.html,,,
