CityTown,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.
La Crosse,Burns Park to Cameron Park,WI,US,2018-03-24,more than 1200,1200,,1200,,,March for Our Lives,support gun control,1,march,0,0,0,0,1,1,http://www.wxow.com/story/37802189/2018/03/Saturday/la-crosse-march-for-our-lives,https://www.facebook.com/events/2088125148089381/,http://www.weau.com/content/news/March-For-Our-Lives-reaches-La-Crosse-477841803.html,
Madison,capitol,WI,US,2018-03-24,estimated 3000,3000,,3000,,,general protestors,support gun control,1,march,0,0,0,0,1,1,http://host.madison.com/wsj/news/local/march-for-our-lives-draws-thousands-to-wisconsin-capitol/article_87c222f9-1998-5223-b532-5f830a1f6fc9.html,http://host.madison.com/wsj/news/local/education/local_schools/thousands-of-madison-area-students-walk-out-for-gun-control/article_473f920e-3cba-5b2d-a8bc-8870183db9c1.html,,
Marquette,Washington Street to Marquette Commons,WI,US,2018-03-24,three to four hundred,300,,400,,,March for Our Lives,support gun control,1,march,0,0,0,0,1,1,http://www.upmatters.com/news/local-news/hundreds-attend-march-for-our-lives-in-marquette/1080517616,https://abc10up.com/2018/03/26/students-participate-in-march-for-our-lives/,,
Milwaukee,County Courthouse to Red Arrow Park and City Hall,WI,US,2018-03-24,at least 12000,12000,,12000,,,march for our lives,support gun control,1,march,0,0,0,0,1,1,https://www.jsonline.com/story/news/2018/03/24/thousands-students-supporters-march-milwaukee-stricter-gun-control/455406002/,,,
Minocqua,Torpy Park,WI,US,2018-03-24,hundreds,200,,200,,,Northwoods Progressives,support gun control,1,march,0,0,0,0,1,1,http://www.wjfw.com/storydetails/20180324224613/hundreds_march_through_minocqua_to_protest_gun_violence,,,
Racine,Washington Ave.,WI,US,2018-03-24,around 250,250,,250,,,general protestors,support gun control,1,march,0,0,0,0,1,1,https://www.jsonline.com/story/news/2018/03/24/thousands-students-supporters-march-milwaukee-stricter-gun-control/455406002/,http://journaltimes.com/news/local/rally-for-peace-draws-crowd-of/article_2672f074-4079-5f2e-8dcb-8aeb7e2543db.html,,
Spooner,Walnut and River streets,WI,US,2018-03-24,count pic ,20,,20,,,march for our lives,support gun control,1,protest,0,0,0,0,1,1,http://www.apg-wi.com/spooner_advocate/multimedia/photos/a-march-for-our-lives/collection_cc827174-31ff-11e8-9f42-9be46b514830.html#10,,,
Stevens Point,University of Wisconsin-Stevens Point,WI,US,2018-03-24,na,270,,270,,,march for our lives,support gun control,1,march,0,0,0,0,1,1,https://www.stevenspointjournal.com/story/news/2018/03/24/central-wisconsin-students-join-march-our-lives-rallies-protest-gun-violence/456049002/,form,,
Wausau,the 400 Block downtown,WI,US,2018-03-24,estimated 200,200,,200,,,march for our lives,support gun control,1,march,0,0,0,0,1,1,https://www.stevenspointjournal.com/story/news/2018/03/24/central-wisconsin-students-join-march-our-lives-rallies-protest-gun-violence/456049002/,,,
Beckley,Shoemaker Square,WV,US,2018-03-24,around 40,40,,40,,,march for our lives,support gun control,1,march,0,0,0,0,1,1,http://www.wvnstv.com/local-news/raleigh-county/march-for-our-lives-in-beckley/1075456794,,,
Charleston,Capitol steps,WV,US,2018-03-24,from photo: dozens,24,,24,,,March for Our Lives,support gun control,1,march,0,0,0,0,1,1,https://www.wvgazettemail.com/news/kanawha_county/students-lead-march-for-our-lives-rally-at-wv-capitol/article_b23f8500-9d93-51cc-8dcb-0456bbc1a1e3.html,https://www.yorkdispatch.com/picture-gallery/news/2018/03/24/photos-march-for-our-lives-around-the-country/33242995/,,
Huntington,Heritage Station,WV,US,2018-03-24,around 100,100,,100,,,March for Our Lives,support gun control,1,march,0,0,0,0,1,1,http://www.herald-dispatch.com/multimedia/photos-citizens-advocate-gun-control-during-march-for-our-lives/collection_02291b62-2fc5-11e8-a58d-13ef5180d01e.html#2,http://www.wsaz.com/content/news/Crowd-turns-out-in-Huntington-to-rally-for-gun-control-477828663.html,http://www.williamsondailynews.com/news/teens-adults-march-in-huntington-as-student-led-gun-protests/article_c44a0d0a-77d3-5d30-b1d2-1b0b74ece85e.html,
Logan,,WV,US,2018-03-24,,,,,,,March for Our Lives,support gun control,1,march,0,0,0,0,1,1,http://wchstv.com/news/local/students-rally-across-west-virginia-for-gun-reform,,,
Morgantown,,WV,US,2018-03-24,more than 300,300,,300,,,March for Our Lives,support gun control,1,march,0,0,0,0,1,1,http://www.thedaonline.com/news/high-school-student-leads-morgantown-march-for-our-lives/article_fff66672-2f99-11e8-8070-7fd6378032b9.html,,,
Parkersburg,market st to wood county courthouse,WV,US,2018-03-24,around 30,30,,30,,,March for Our Lives,support gun control,1,march,0,0,0,0,1,1,http://www.thenewscenter.tv/content/news/March-For-Our-Lives-Rallies-and-Marches-Held-In-the-MOV-477838313.html,,,
Wheeling,,WV,US,2018-03-24,picture ,12,,24,,,March for Our Lives,support gun control,1,march,0,0,0,0,1,1,http://wtov9.com/news/local/2018-march-for-our-lives,,,
Jackson,center,WY,US,2018-03-24,at least 260; one count at 267,260,,267,,,March for Our Lives,support gun control,1,march,0,0,0,0,1,1,https://buckrail.com/jackson-joins-nation-in-march-for-our-lives/,,,heavy snowfall
Laramie,Downtown Laramie First Plaza,WY,US,2018-03-24,na,517,,517,,,Laramie High March for Our Live Rally and Mini-March,support gun control,1,rally; march,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,http://www.laramieboomerang.com/news/high-school-students-host-march-for-our-lives-on-saturday/article_91f3c554-2fe2-11e8-bb75-070e4ef50093.html,http://laramielive.com/laramie-students-march-for-their-lives/,
Pinedale,Main Street; American Legion Park,WY,US,2018-03-24,about 30,30,,30,,,March for Our Lives,support gun control,1,march,0,0,0,0,1,1,http://www.kulr8.com/story/37800864/student-protests-counter-protest-set-for-montana-wyoming,https://pinedaleroundup.com/article/march-for-our-lives,,
Sheridan,Grinnell & Main St,WY,US,2018-03-24,a few dozen,24,,24,,,March For Our Lives Rally Sheridan,support gun control,1,rally,0,0,0,0,1,1,https://event.marchforourlives.com/event/march-our-lives-events/search/,https://sheridanpress.smugmug.com/Events/March-for-Our-Lives-Rally-in-Sheridan/,http://www.apnewsarchive.com/2018/Students-and-gun-control-advocates-in-Montana-and-Wyoming-are-rallying-in-support-of-marches-nationwide-called-for-by-students-who-survived-February-s-school-shooting-in-Florida/id-4e8ffe930dff4e7f987f2dc5be5689a4,
,,62,,,114,1380746,,2181966,,,,,,,0,0,0,0,756,765,,,,
Other US (not included in protest total),,,,,,,,,,,,,,,,,,,,,,,,
