City/Town,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Admin Role
Boulder,Crest View Elementary,CO,US,2018-03-14,about 10,10,,10,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,0,1,http://www.dailycamera.com/boulder-county-schools/ci_31732990/hundreds-students-walk-out-class-across-boulder-county,,,,
Boulder,Fairview High School,CO,US,2018-03-14,,,,,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,0,1,http://www.dailycamera.com/boulder-county-schools/ci_31732990/hundreds-students-walk-out-class-across-boulder-county,,,,
Boulder,Horizon K-8 School; Frasier Meadows,CO,US,2018-03-14,,,,,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,0,1,http://www.dailycamera.com/boulder-county-schools/ci_31732990/hundreds-students-walk-out-class-across-boulder-county,,,,
Broomfield,Broomfield High School,CO,US,2018-03-14,about 300,300,,300,,,Youth Speak Out: Enough,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,https://www.facebook.com/events/348066852375295/,http://www.dailycamera.com/boulder-county-schools/ci_31732990/hundreds-students-walk-out-class-across-boulder-county,,,
Brush,Brush High School,CO,US,2018-03-14,13,13,,13,,,Students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,http://www.brushnewstribune.com/brush-news/ci_31748757/morgan-county-students-join-national-gun-violence-protest,,,,
Castle Pines,DCS Middle School,CO,US,2018-03-14,,,,,,,Students,Enough: National School Walkout,1,walkout,,,,,1,1,https://actionnetwork.org/events/dcs-middle-school-enough-walkout,,,,
Colorado Springs,Cheyenne Mountain High,CO,US,2018-03-14,,,,,,,Students,Enough: National School Walkout,1,walkout,,,,,1,1,https://twitter.com/jennielf/status/973973857269886985,,,,
Colorado Springs,Rampart HS,CO,US,2018-03-14,,,,,,,Students,Enough: National School Walkout,1,walkout,,,,,1,1,https://www.coloradoan.com/story/news/local/colorado/2018/03/11/colorado-springs-students-plan-walkouts-over-gun-violence/415191002/,,,,
Colorado Springs,Palmer High School,CO,US,2018-03-14,a third to half of 1650,550,,825,,,Students,Enough: National School Walkout,1,walkout,0,0,0,0,0,1,http://gazette.com/thousands-of-colorado-springs-area-students-hold-walkout-to-protest-gun-violence/article/1622681?custom_click=rss,https://www.coloradoan.com/story/news/local/colorado/2018/03/11/colorado-springs-students-plan-walkouts-over-gun-violence/415191002/,,,
Columbine,Columbine High School,CO,US,2018-03-14,hundreds; about 250,200,,250,,,Students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,https://www.usatoday.com/story/news/2018/03/14/thousands-students-across-u-s-walk-out-class-today-protest-gun-violence/420731002/,http://www.kulr8.com/story/37724933/national-student-walkout-includes-columbine-high,,,
