City/Town,Location,StateTerritory,Country,Date,EstimateText,EstimateLow,BestGuess,EstimateHigh,AdjustedLow,AdjustedHigh,Actor,Claim,Pro(2)/Anti(1),EventType,ReportedArrests,ReportedParticipantInjuries,ReportedPoliceInjuries,ReportedPropertyDamage,TownsCities,Events,Source1,Source2,Source3,Misc.,Admin Role
Albany,Westover High School,GA,US,2018-03-14,around 600,600,,600,,,Students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,http://www.walb.com/story/37718314/south-ga-students-participate-in-national-school-walkout-day,,,,
Albany,Albany Middle School,GA,US,2018-03-14,several dozen,24,,24,,,Students,Enough: National School Walkout,1,walkout,0,0,0,0,0,1,http://www.walb.com/story/37718314/south-ga-students-participate-in-national-school-walkout-day,,,,
Atlanta,Booker T. Washington High School,GA,US,2018-03-14,about 600,600,,600,,,Students; Womens March Youth,Enough: National School Walkout,1,protest,0,0,0,0,1,1,http://thehill.com/blogs/blog-briefing-room/378344-students-at-atlanta-high-school-take-a-knee-to-protest-gun-violence,,,take a knee,
Atlanta,State Capitol,GA,US,2018-03-14,more than 100,100,,100,,,Students; Womens March Youth,Enough: National School Walkout,1,rally,,,,,0,1,https://www.ajc.com/news/state--regional-education/cobb-parents-line-support-national-student-walkout/0yifza39ngQHIgVVi2FKGN/,,,,
Atlanta,Grady High School,GA,US,2018-03-14,,,,,,,Students; Womens March Youth,Enough: National School Walkout,1,walkout,,,,,0,1,https://twitter.com/mlarcom/status/973942020740874242,,,,
Atlanta,Inman Middle School,GA,US,2018-03-14,,,,,,,students; staff,,1,walkout,,,,,0,1,https://twitter.com/apsupdate/status/973934714695319552,,,,
Atlanta,Sutton Middle School,GA,US,2018-03-14,,,,,,,Students; Womens March Youth,Enough: National School Walkout,1,walkout,,,,,0,1,http://act.indivisible.org/event/national-school-walkout/8484/signup/?akid=&zip=&source=,,,,
Atlanta,Sylvan Hills Middle School,GA,US,2018-03-14,,,,,,,Students; Womens March Youth,Enough: National School Walkout,1,walkout,,,,,0,1,https://twitter.com/collinsforkids/status/973931454714478592,,,,
Atlanta,Emory Medicine,GA,US,2018-03-14,,,,,,,Students; Womens March Youth,Enough: National School Walkout,1,walkout,,,,,0,1,https://twitter.com/CarlosdelRio7/status/973925391340621825,https://www.ajc.com/news/state--regional-education/cobb-parents-line-support-national-student-walkout/0yifza39ngQHIgVVi2FKGN/,,,
Bloomingdale,New Hampstead High School,GA,US,2018-03-14,,,,,,,Students; Womens March Youth,Enough: National School Walkout,1,walkout,,,,,1,1,https://www.actionnetwork.org/event_campaigns/enough-national-school-walkout,,,,
Cairo,Cairo High School,GA,US,2018-03-14,na,4,,4,,,students,,1,walkout,0,0,0,0,1,1,http://www.timesenterprise.com/news/local_news/four-cairo-high-students-take-part-in-school-shooting-walkout/article_1cc07f95-b625-57c2-9630-7f6df47b4d26.html,,,,
Canton,Sequoyah High School,GA,US,2018-03-14,roughly 150,150,,150,,,Students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,http://www.tahlequahdailypress.com/news/sequoyah-students-join-millions-to-honor-victims-protest-violence/article_b4a45ce6-c9f4-51c4-a166-bf3dc0ef3acb.html,,,,
Dougasville,South Paulding High School,GA,US,2018-03-14,,,,,,,students,Enough: National School Walkout,1,walkout,,,,,1,1,http://act.indivisible.org/event/national-school-walkout/8800/signup/?akid=&zip=&source=,,,,
Jonesboro,Mundy Mill's Middle School,GA,US,2018-03-14,,,,,,,Students; Womens March Youth,Enough: National School Walkout,1,walkout,,,,,1,1,https://www.ajc.com/news/state--regional-education/cobb-parents-line-support-national-student-walkout/0yifza39ngQHIgVVi2FKGN/,,,,
Kennesaw,Kennesaw State University,GA,US,2018-03-14,more than 20,20,,20,,,Students; Womens March Youth,Enough: National School Walkout,1,walkout,,,,,1,1,https://www.ajc.com/news/state--regional-education/cobb-parents-line-support-national-student-walkout/0yifza39ngQHIgVVi2FKGN/,,,,
Leesburg,Lee County High School,GA,US,2018-03-14,hundreds,200,,200,,,Students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,http://www.walb.com/story/37718314/south-ga-students-participate-in-national-school-walkout-day,,,,
Madison,Morgan County High School,GA,US,2018-03-14,na,100,,120,,,students,,1,walkout,0,0,0,0,1,1,form,,,,
Madison,Morgan County Middle School,GA,US,2018-03-14,na,60,,70,,,students,,1,walkout,0,0,0,0,0,1,form,,,,
Marietta,Lassiter High School,GA,US,2018-03-14,approx 40,40,,40,,,students,,1,walkout,,,,,1,1,https://twitter.com/PortiaFOX5/status/973935309393137665,https://www.nytimes.com/2018/03/14/us/school-walkout.html,https://www.ajc.com/news/state--regional-education/cobb-parents-line-support-national-student-walkout/0yifza39ngQHIgVVi2FKGN/,,
Marietta,Kell High School,GA,US,2018-03-14,na,3,,3,,,students,Enough: National School Walkout,1,walkout,,,,,0,1,http://kdvr.com/2018/03/14/students-stage-school-walkouts-across-country-to-protest-gun-violence/,,,,
Marietta,Pope High School,GA,US,2018-03-14,,,,,,,students,,1,walkout,,,,,0,1,http://philadelphia.cbslocal.com/2018/03/14/delaware-valley-national-walkout-day/,,,,
Marietta,Walton High School,GA,US,2018-03-14,na,262,,262,,,Students; Womens March Youth,Enough: National School Walkout,1,walkout,,,,,0,1,https://www.ajc.com/news/state--regional-education/cobb-parents-line-support-national-student-walkout/0yifza39ngQHIgVVi2FKGN/,,,,
Newnan,Newnan High School,GA,US,2018-03-14,more than 200,200,,200,,,Students; Womens March Youth,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,http://times-herald.com/news/2018/03/about-200-students-walk-out-for-protest-at-nhs,,,,
Snellville,Brookwood High School,GA,US,2018-03-14,,,,,,,Students; Womens March Youth,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,https://www.ajc.com/news/state--regional-education/cobb-parents-line-support-national-student-walkout/0yifza39ngQHIgVVi2FKGN/,https://twitter.com/TonyThomasWSB/status/973922833851183104?ref_src=twsrc%5Etfw&ref_url=http%3A%2F%2Fwww.wsfa.com%2Fstory%2F37723749%2Fnational-school-walkout-taking-it-to-the-streets-and-the-playground&tfw_creator=wsfa12news&tfw_site=wsfa12news,,,
Thomasville,Thomas County Central High School,GA,US,2018-03-14,about 200,200,,200,,,Student,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,http://www.walb.com/story/37718314/south-ga-students-participate-in-national-school-walkout-day,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
Hilo,Waiakea Intermediate School,HI,US,2018-03-14,between 80 and 100,80,,100,,,Students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,http://www.hawaiitribune-herald.com/2018/03/15/hawaii-news/east-hawaii-students-join-peers-nationwide-and-walk-out-in-protest-against-gun-violence/,,,,
Honolulu,Farrington HS,HI,US,2018-03-14,,,,,,,Students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,https://twitter.com/teamtrace/status/974015770165424128,,,,
Honolulu,Iolani School,HI,US,2018-03-14,,,,,,,Students,Enough: National School Walkout,1,walkout,0,0,0,0,0,1,http://www.kitv.com/clip/14200967/iolani-school-students-walk-out-of-class-in-protest,,,,
Cedar Rapids,Coe College,IA,US,2018-03-14,at least 200,200,,200,,,students,Enough: National School Walkout,1,protest,0,0,0,0,1,1,http://www.kcrg.com/content/news/Coe-College-students-join-nationwide-school-walkout-to-protest-Florida-shootings-476834633.html,,,,
Davenport,Davenport Central High School,IA,US,2018-03-14,hundreds,200,,200,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,http://wqad.com/2018/03/14/students-walk-out-of-class-to-support-parkland-victims-and-survivors-and-rally-for-stricter-gun-control/,,,,
Davenport,Davenport West High School,IA,US,2018-03-14,about 200,200,,200,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,http://qctimes.com/news/local/barb-ickes/students-walk-out-adults-stumble/article_4766f815-ce45-5b6a-bf47-8c11b643f0d0.html,,,,
Dubuque,Hempstead High School,IA,US,2018-03-14,more than 200,200,,200,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,http://www.kcrg.com/content/news/Hundreds-of-Hempstead-students-walk-out-of-classes-to-protest-gun-violence-honor-victims-476852253.html,,,,
Grinnell ,Grinnell High School ,IA,US,2018-03-14,about 140,140,,140,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,http://www.myiowainfo.com/2018/03/14/3-14-school-walk-out-to-protest-gun-violence/,,,,
Iowa City,Mann Elementary School,IA,US,2018-03-14,,,,,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,https://www.press-citizen.com/videos/news/2018/03/09/mann-elementary-students-protest-gun-violence/32790875/,,,,
Iowa Falls,Iowa Falls-Alden High School,IA,US,2018-03-14,about 200,200,,200,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,https://www.desmoinesregister.com/story/news/education/2018/03/14/iowa-students-join-national-school-walkout-call-congress-gun-reform/424285002/,,,,
Storm Lake,Buena Vista University ,IA,US,2018-03-14,photo count,50,,50,,,students; general protest,Enough: National School Walkout,1,protest,0,0,0,0,1,1,http://siouxcityjournal.com/news/local/professors-lead-school-violence-protest-at-buena-vista-in-storm/article_1ea2b6d1-88f9-5a12-99e3-05899d17677c.html,https://www.stormlakepilottribune.com/story/2493348.html,,,
Storm Lake ,Storm Lake High School ,IA,US,2018-03-14,na,,,,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,https://www.stormlakepilottribune.com/story/2493348.html,,,,
Boise,State Capitol,ID,US,2018-03-14,close to 2000,2000,,2000,,,People For Unity,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,https://www.facebook.com/events/1487608068029291/,http://www.spokesman.com/blogs/boise/2018/mar/14/close-2000-students-rally-statehouse-steps-against-gun-violence-pour-capitol/,,,
Coeur d'Alene,Coeur d'Alene High School,ID,US,2018-03-14,FB: 38,38,,38,,,Students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,https://www.facebook.com/events/542925606094181/,,,,
Hailey,Wood River High School,ID,US,2018-03-14,,,,,,,Students; Womens March Youth,Enough: National School Walkout,1,walkout,,,,,1,1,http://act.indivisible.org/event/national-school-walkout/8481/signup/?akid=&zip=&source=,,,,
Idaho Falls,Hillcrest High School,ID,US,2018-03-14,,,,,,,students,,1,walkout,0,0,0,0,1,1,https://www.beaumontenterprise.com/news/education/article/School-walkout-unity-also-lays-bare-division-12761091.php,,,,
Pocatello,Century High School,ID,US,2018-03-14,30,30,,30,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,https://idahostatejournal.com/members/walkout-pocatello-students-among-the-many-across-u-s-to/article_4c0e50c1-0254-54cf-bcdd-b97dd22dc874.html,,,,
Pocatello ,Highland High School,ID,US,2018-03-14,nearly 20 ,20,,20,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,https://idahostatejournal.com/members/walkout-pocatello-students-among-the-many-across-u-s-to/article_4c0e50c1-0254-54cf-bcdd-b97dd22dc874.html,,,,
Pocatello ,Pocatello Community Charter School,ID,US,2018-03-14,12,12,,12,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,https://idahostatejournal.com/members/walkout-pocatello-students-among-the-many-across-u-s-to/article_4c0e50c1-0254-54cf-bcdd-b97dd22dc874.html,,,,
Pocatello,Pocatello High School,ID,US,2018-03-14,approximately 80,80,,80,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,https://idahostatejournal.com/members/walkout-pocatello-students-among-the-many-across-u-s-to/article_4c0e50c1-0254-54cf-bcdd-b97dd22dc874.html,,,,
Bartlett,Bartlett High School,IL,US,2018-03-14,,,,,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,http://www.chicagotribune.com/suburbs/elgin-courier-news/ct-ecn-larkin-high-school-walkout-st-0314-20180314-story.html,,,,
Blue Island,Eisenhower High School,IL,US,2018-03-14,,,,,,,students,Enough: National School Walkout,1,walkout,,,,,1,1,http://act.indivisible.org/event/national-school-walkout/8912/signup/?akid=&zip=&source=,,,,
Broadlands,Heritage High School,IL,US,2018-03-14,close to 40,35,,40,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,http://www.news-gazette.com/news/local/2018-03-15/across-the-area-high-school-students-take-stand-walking-out.html,,,,
Champaign,Centennial High School,IL,US,2018-03-14,dozens,,,,,,students,Enough: National School Walkout,1,walkout; rally,0,0,0,0,1,1,http://www.news-gazette.com/news/local/2018-03-15/across-the-area-high-school-students-take-stand-walking-out.html,,,,
Chicago,Brighton Park Elementary School,IL,US,2018-03-14,count pic hundred plus,100,,100,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,https://twitter.com/BrightonParkES/status/973951979922878467,,,,
Chicago,Chicago High School for the Arts,IL,US,2018-03-14,,,,,,,GoodKidsMadCity; students,gun control in Chicago and Baltimore,1,walkout,,,,,0,1,https://twitter.com/jaisalnoor/status/973663869502722048,https://www.facebook.com/therealnews/videos/10156111533937980/,https://twitter.com/GKMC18/status/973975000414859269,,
Chicago,GEMS World Academy,IL,US,2018-03-14,,,,,,,students,Enough: National School Walkout,1,walkout,,,,,0,1,https://twitter.com/SusieMUC/status/973942333636055050,,,,
Chicago,John Hancock College Prep High School,IL,US,2018-03-14,about 700,700,,700,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,0,1,https://chicago.suntimes.com/chicago-politics/chicago-area-students-join-national-effort-walk-out-to-protest-gun-violence/,,,,
Chicago,Jones College Prep,IL,US,2018-03-14,,,,,,,students,,1,walkout,,,,,0,1,form,,,,
Chicago,Kenwood Academy High School,IL,US,2018-03-14,200 to 300,200,,300,,,students,Enough: National School Walkout,1,walkout,1,0,0,0,0,1,https://chicago.suntimes.com/chicago-politics/chicago-area-students-join-national-effort-walk-out-to-protest-gun-violence/,,,,
Chicago,North Lawndale College Prep Campus,IL,US,2018-03-14,about 100,100,,100,,,GoodKidsMadCity; students,against Chicago violence; raise awareness about it,1,walkout,0,0,0,0,0,1,http://wgntv.com/2018/03/14/students-at-chicago-high-school-hold-walkout-over-their-everyday-violence/,,,,
Chicago,Sullivan High School,IL,US,2018-03-14,photo count,20,,20,,,students,Enough: National School Walkout,1,walkout,,,,,0,1,https://twitter.com/MsKellyMHayes/status/973937844875079680,,,,
Chicago,Perspectives Charter Schools,IL,US,2018-03-14,,,,,,,students,Enough: National School Walkout,1,walkout,,,,,0,1,https://www.nytimes.com/2018/03/14/us/photos-gun-protest.html,,,,
Chicago,Curie Metropolitan High School,IL,US,2018-03-14,,2800,,2800,,,Students; Womens March Youth,Enough: National School Walkout,1,walkout,,,,,0,1,https://www.wsj.com/articles/students-plan-national-school-walkout-to-protest-shootings-1521019801?mod=itp&mod=djemITP_h&utm_source=TopSheet&utm_campaign=5a7182dc4b-EMAIL_CAMPAIGN_2018_03_15&utm_medium=email&utm_term=0_d40b014331-5a7182dc4b-176138849,,,,
Creve Coeur,Parkview Middle School,IL,US,2018-03-14,more than 200,200,,200,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,http://www.pjstar.com/news/20180314/peoria-area-students-join-thousands-in-national-school-walkout,,,,
Crystal Lake,McHenry County College,IL,US,2018-03-14,FB: 7,7,,7,,,general protestors; students,Enough: National School Walkout,1,protest,0,0,0,0,1,1,https://www.facebook.com/events/175799466375535/,,,,
Danville,Danville High School,IL,US,2018-03-14,majority of the student body,,,,,,students,Enough: National School Walkout,1,walkout; rally,0,0,0,0,1,1,http://www.news-gazette.com/news/local/2018-03-15/across-the-area-high-school-students-take-stand-walking-out.html,,,,walkout under staff supervision
Darien,Hinsdale South High School,IL,US,2018-03-14,302,302,,302,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,http://www.theherald-news.com/2018/03/02/local-students-planning-school-walkouts-to-protest-mass-shootings/a2faisa/,,,,
Downers Grove,Downers Grove North High School,IL,US,2018-03-14,na ,1100,,1100,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,http://chicago.cbslocal.com/2018/03/16/downers-grove-student-walkout-detention/,,,,
Downers Grove,Downers Grove South High School,IL,US,2018-03-14,see above,,,,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,0,1,https://www.nbcchicago.com/news/local/downers-grove-school-walkout-discipline-detention-parkland-477115933.html,,,NBC Chicago says 1100 was total from both high schools,
Elgin,Elgin High School,IL,US,2018-03-14,,,,,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,http://www.chicagotribune.com/suburbs/elgin-courier-news/ct-ecn-larkin-high-school-walkout-st-0314-20180314-story.html,,,,
Elgin,Larkin High School,IL,US,2018-03-14,between 700 and 800,700,,800,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,0,1,http://www.chicagotribune.com/suburbs/elgin-courier-news/ct-ecn-larkin-high-school-walkout-st-0314-20180314-story.html,,,,
Evanston,Fountain Square,IL,US,2018-03-14,Hundreds,200,,200,,,Students and residents,,1,Protest,0,0,0,0,1,1,https://patch.com/illinois/evanston/evanston-walk-outs-protest-gun-violence,,,,
Evanston,Evanston Township High School,IL,US,2018-03-14,More than 3000,3000,,3000,,,Students,,1,walkout,0,0,0,0,1,1,https://patch.com/illinois/evanston/evanston-walk-outs-protest-gun-violence,,,,
Evanston,Beacon Academy; Roycemore School,IL,US,2018-03-14,,,,,,,students,,1,walkout,0,0,0,0,1,1,https://twitter.com/j_shansky/status/973954978409779200,,,,
Glasford,Illini Bluffs High School,IL,US,2018-03-14,,,,,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,http://www.pjstar.com/news/20180314/peoria-area-students-join-thousands-in-national-school-walkout,,,,
Hinsdale,Hinsdale Central High School,IL,US,2018-03-14,620,620,,620,,,students,,1,walkout,0,0,0,0,1,1,http://chicago.cbslocal.com/2018/03/16/downers-grove-student-walkout-detention/,http://www.chicagotribune.com/suburbs/burr-ridge/news/ct-dhd-d86-walkout-discipline-tl-0322-20180316-story.html,,mentions 400 in video,
Hoffman Estates,James B. Conant High School,IL,US,2018-03-14,na; 500+,100,,500,,,students,,1,walkout,,,,,1,1,https://twitter.com/btobs_/status/973958760828952577,form,,,
Lincolnshire,Stevenson High School,IL,US,2018-03-14,approx 2000; closer to 3000,2000,,3000,,,students,,1,walkout,0,0,0,0,1,1,https://www.facebook.com/stevensonhs/,,,numbers from school's video update,
Oak Forest,Oak Forest High School,IL,US,2018-03-14,around 300 to 400,300,,400,,,students,,1,walkout,0,0,0,0,1,1,https://patch.com/us/across-america/national-student-walkout-thousands-protest-gun-violence,,,,
Paxton,Paxton-Buckley-Loda Junior High School,IL,US,2018-03-14,15 to 20,15,,20,,,students,,1,walkout,0,0,0,0,1,1,http://www.news-gazette.com/news/local/2018-03-15/across-the-area-high-school-students-take-stand-walking-out.html,,,,warned of discipline for disrupting school day
Pekin,Pekin Community High School,IL,US,2018-03-14,,,,,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,http://www.pjstar.com/news/20180314/peoria-area-students-join-thousands-in-national-school-walkout,,,,
Peoria,Manual Academy,IL,US,2018-03-14,,,,,,,students,Enough: National School Walkout,0,wrote letters to Parkland families,0,0,0,0,1,1,http://www.pjstar.com/news/20180314/peoria-area-students-join-thousands-in-national-school-walkout,,,,
Peoria,Richwoods High School,IL,US,2018-03-14,,,,,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,http://www.pjstar.com/news/20180314/peoria-area-students-join-thousands-in-national-school-walkout,,,,
Richton Park,Rich South High School,IL,US,2018-03-14,,,,,,,students,,1,walkout,,,,,1,1,https://twitter.com/Richsouthhs/status/973941903057211392,,,,
Round Lake,Round Lake HS,IL,US,2018-03-14,,,,,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,https://twitter.com/teamtrace/status/973957498452488195,,,,
St. Joseph,St. Joseph-Ogden High School,IL,US,2018-03-14,dozen ,12,,12,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,http://www.news-gazette.com/news/local/2018-03-15/across-the-area-high-school-students-take-stand-walking-out.html,,,,rerouted by administrators to the auditorium rather than outdoors
South Elgin,South Elgin High School,IL,US,2018-03-14,,,,,,,Students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,http://www.dailyherald.com/news/20180314/we-are-young-and-we-are-strong-suburban-teens-join-walkout-against-gun-violence,http://www.chicagotribune.com/suburbs/elgin-courier-news/ct-ecn-larkin-high-school-walkout-st-0314-20180314-story.html,,,
Streamwood,Streamwood High School,IL,US,2018-03-14,,,,,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,http://www.chicagotribune.com/suburbs/elgin-courier-news/ct-ecn-larkin-high-school-walkout-st-0314-20180314-story.html,,,,
Urbana,Urbana High School,IL,US,2018-03-14,half of the 1100 students joined by more than 100 adults,650,,650,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,http://www.news-gazette.com/news/local/2018-03-15/across-the-area-high-school-students-take-stand-walking-out.html,,,,"""As the students streamed out of Urbana High about 10 a.m., adults formed a corridor along the sidewalk at Carle Park. They applauded and shouted, ""We're so proud of you,"" and ""Way to go, Urbana."""
Washington,Washington Community High School,IL,US,2018-03-14,,,,,,,students,Enough: National School Walkout,0,discussions; signed petitions,0,0,0,0,1,1,http://www.pjstar.com/news/20180314/peoria-area-students-join-thousands-in-national-school-walkout,,,,
Winnetka,New Trier HS,IL,US,2018-03-14,,,,,,,students,,1,walkout,0,0,0,0,1,1,http://www.wilmettebeacon.com/school/new-trier%E2%80%99s-student-led-walkout-creates-powerful-message,,,,
Peoria,,IL,US,2018-03-14,,,,,,,,,,,,,,,,,http://www.pjstar.com/news/20180314/peoria-area-students-join-thousands-in-national-school-walkout,,,,"""The Catholic Diocese of Peoria’s Office of Catholic Schools barred students from participating, but suggested a variety of alternatives including prayer services and asking lawmakers to ban assault weapons."""
Fort Wayne,Concordia Lutheran High School,IN,US,2018-03-14,hundreds,200,,200,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,http://www.journalgazette.net/news/local/schools/20180314/local-students-walkout-to-protest-gun-violence,,,,
Fort Wayne,Snider HS,IN,US,2018-03-14,count pic,30,,30,,,students,,1,walkout,0,0,0,0,0,1,http://wane.com/2018/03/13/students-plan-alternatives-to-walk-outs/,,,,
Fort Wayne,Wayne High School,IN,US,2018-03-14,about 20,20,,20,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,0,1,http://www.journalgazette.net/news/local/schools/20180314/local-students-walkout-to-protest-gun-violence,http://wane.com/2018/03/13/students-plan-alternatives-to-walk-outs/,,also a walk-in,
Greencastle,DePauw University,IN,US,2018-03-14,na,40,,60,,,faculty,,1,protest,0,0,0,0,1,1,form,,,,
Huntington,Huntington North HS,IN,US,2018-03-14,,,,,,,students,,1,walkout,0,0,0,0,1,1,http://wane.com/2018/03/13/students-plan-alternatives-to-walk-outs/,,,,
Indianapolis,Broad Ripple Magnet High School,IN,US,2018-03-14,hundreds,200,,200,,,students,,1,walkout,0,0,0,0,1,1,https://twitter.com/IPSSchools/status/973925322067464193,,,,
Indianapolis,Decatur Central High School,IN,US,2018-03-14,,,,,,,Students; Womens March Youth,Enough: National School Walkout,1,walkout,,,,,0,1,https://www.actionnetwork.org/event_campaigns/enough-national-school-walkout,,,,
Indianapolis,Herron High School,IN,US,2018-03-14,hundreds,200,,200,,,Students,,1,walkout,,,,,0,1,http://www.vcstar.com/story/news/2018/03/14/thousands-students-across-u-s-walk-out-class-today-protest-gun-violence/420731002/?hootPostID=af8de15811ff925cd33f3bf2f1fea991,,,,
Lapel,Lapel jr-sr High School,IN,US,2018-03-14,about 30,30,,30,,,Students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,http://www.rushvillerepublican.com/news/nationalwalkout-day-madison-county-students-join-national-protest/article_c743668b-3ef1-5595-a5af-29903b9f678a.html,,,,
LaPorte,Boston Middle School,IN,US,2018-03-14,,,,,,,Students,,1,walkout,,,,,1,1,twitter,,,,
LaPorte,LaPorte HS,IN,US,2018-03-14,,,,,,,Students,,1,walkout,,,,,0,1,twitter,,,,
Muncie,Muncie HS,IN,US,2018-03-14,hundreds,200,,200,,,students,,1,walkout,0,0,0,0,1,1,https://twitter.com/TheStarPress/status/973955162195800064,,,,
Normal,Normal Community High School,IN,US,2018-03-14,at least 300,300,,300,,,Students,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,http://wglt.org/post/photos-local-students-demand-action-guns-during-walkouts-0#stream/0,,,,
Normal,Normal West High School,IN,US,2018-03-14,around 200,200,,200,,,Students,Enough: National School Walkout,1,walkout,0,0,0,0,0,1,http://wglt.org/post/photos-local-students-demand-action-guns-during-walkouts-0#stream/0,,,,
South Bend,John Adams High School,IN,US,2018-03-14,,,,,,,Students,,1,walkout,,,,,1,1,https://twitter.com/JAHSParentGroup/status/973941908203597824,,,,
Sullivan,Sullivan High School,IN,US,2018-03-14,,,,,,,Students; Womens March Youth,Enough: National School Walkout,1,walkout,,,,,1,1,http://act.indivisible.org/event/national-school-walkout/8891/signup/?akid=&zip=&source=,,,,
Terre,Terre Haute North Vigo High School,IN,US,2018-03-14,about 60,60,,60,,,Students; Womens March Youth,Enough: National School Walkout,1,walkout,,,,,1,1,https://www.nbcnews.com/news/us-news/national-school-walkout-marks-month-parkland-mass-shooting-n856386,,,,
Valparaiso,Valparaiso High School,IN,US,2018-03-14,FB: 45,45,,45,,,VHS Student Activism,Enough: National School Walkout,1,walkout,0,0,0,0,1,1,https://www.facebook.com/events/424224281348975/,,,,
Bel Aire,Northeast Magnet High School,KS,US,2018-03-14,about 200,200,,200,,,students,,1,walkout,0,0,0,0,1,1,http://www.kansas.com/news/local/education/article205069784.html,,,,
Junction City,Al Simpler Stadium,KS,US,2018-03-14,,,,,,,students,Gun violence,1,rally,0,0,0,0,1,1,http://www.jcdailyunion.com/news/jchs-students-to-stage-walk-out-wednesday-morning-to-protest/article_715930d6-2669-11e8-aa55-771d230ed9f6.html,,,,
Pittsburg,Pittsburg High School,KS,US,2018-03-14,,,,,,,students,Enough: National School Walkout,1,walkout,0,0,0,0,0,1,http://www.morningsun.net/news/20180313/local-schools-to-participate-in-protest---phs-plans-walkout-other-schools-hosting-presentations-prayer-vigil,,,,
Silver Lake,Silver Lake Junior-Senior High School,KS,US,2018-03-14,about 50,50,,50,,,students,,1,walkout,0,0,0,0,1,1,,,,,
Tecumseh,Shawnee Heights High School,KS,US,2018-03-14,about 80,80,,80,,,students,,1,walkout,0,0,0,0,1,1,http://www.cjonline.com/news/20180314/never-again-topeka-schools-participate-in-national-walkout-day,,,,
Topeka,statehouse; Topeka High School,KS,US,2018-03-14,several hundred,300,,300,,,students,,1,walkout; march,0,0,0,0,1,1,http://www.cjonline.com/news/20180314/never-again-topeka-schools-participate-in-national-walkout-day,,,,
Topeka,Chase Middle School,KS,US,2018-03-14,all students,,,,,,students,,1,walkout,0,0,0,0,0,1,http://www.cjonline.com/news/20180314/never-again-topeka-schools-participate-in-national-walkout-day,,,,
Topeka,Highland Park High School,KS,US,2018-03-14,estimated 250,250,,250,,,students,,1,walkout,0,0,0,0,0,1,http://www.cjonline.com/news/20180314/never-again-topeka-schools-participate-in-national-walkout-day,,,,
Topeka,Landon Middle School,KS,US,2018-03-14,nearly all students,,,,,,students,,1,walkout,0,0,0,0,0,1,http://www.cjonline.com/news/20180314/never-again-topeka-schools-participate-in-national-walkout-day,,,,
Topeka,Robinson Middle School,KS,US,2018-03-14,estimated 250,250,,250,,,students,,1,walkout,0,0,0,0,0,1,http://www.cjonline.com/news/20180314/never-again-topeka-schools-participate-in-national-walkout-day,,,,
Topeka,Seaman High School,KS,US,2018-03-14,more than 100,100,,100,,,students,,1,walkout,0,0,0,0,1,1,http://www.cjonline.com/news/20180314/never-again-topeka-schools-participate-in-national-walkout-day,,,,
