store_name,storeid,addr_num,addr_st,addr_add,city,state,zip5,store_type,stype_num,store_group,stgrp_num,Y2008,Y2009,Y2010,Y2011,Y2012,Y2013,Y2014,Y2015,Y2016,Y2017,Y2018,year_first,year_last,X,Y,method,match,dup,st_type,loc_id,store_name_l,store
Dollar General 14609,st_335786,900,S Main St,NA,Eaton Rapids,MI,48827,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-84.65644,42.50377,usda,NA,NA,CO,L204503,dollar general 14609,Dollar General
DOLLAR GENERAL 1461,st_147053,400,S Patrick St,NA,Dublin,TX,76446,Combination Grocery/Other,2,Small retail,4,1,1,1,1,1,1,1,1,1,1,1,2008,2018,-98.34351,32.08203,usda,NA,NA,CO,L204504,dollar general 1461,Dollar General
Dollar General 14610,st_332297,623,S Main St,NA,Marion,SC,29571,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-79.4006,34.1748,usda,NA,NA,CO,L204505,dollar general 14610,Dollar General
Dollar General 14611,st_334985,14395,Palm Beach Blvd,NA,Fort Myers,FL,33905,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-81.72289,26.7094,usda,NA,NA,CO,L204506,dollar general 14611,Dollar General
Dollar General 14612,st_335765,4038,N Grand Blvd,NA,Saint Louis,MO,63107,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-90.21429,38.66456,usda,NA,NA,CO,L204507,dollar general 14612,Dollar General
Dollar General 14613,st_331696,5401,S 7th St,NA,Abilene,TX,79605,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-99.79601,32.44408,usda,NA,NA,CO,L204508,dollar general 14613,Dollar General
Dollar General 14614,st_322874,316,W 103rd St,NA,Chicago,IL,60628,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,1,1,1,1,1,1,2013,2018,-87.63159,41.7071,usda,NA,NA,CO,L046643,dollar general 14614,Dollar General
Dollar General 14617,st_332882,2800,Bayou Blue Rd,NA,Houma,LA,70364,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-90.72866,29.6758,usda,NA,NA,CO,L204509,dollar general 14617,Dollar General
Dollar General 14619,st_328325,130,Skyline Dr,NA,Ringwood,NJ,7456,Combination Grocery/Other,2,Small retail,4,0,0,0,0,0,0,1,1,1,1,1,2014,2018,-74.26202,41.0846,usda,NA,NA,CO,L204510,dollar general 14619,Dollar General
DOLLAR GENERAL 1462,st_150309,108,N Hood Ave,NA,Gadsden,AL,35903,Combination Grocery/Other,2,Small retail,4,1,1,1,1,1,1,1,1,1,1,1,2008,2018,-85.99368,34.00892,usda,NA,NA,CO,L204511,dollar general 1462,Dollar General
