district,Lcluster,ineq Rank,DistrictL,Representative,Party,years_in_house,Median_household_income,Mean_household_income,Per_capita_income,GiniIndex
CA-30,Urban-suburban mix,53,CA30,Rep. Brad Sherman,D,17,"$67,412 ","$95,212 ","$36,231 ",0.486
NJ-09,Pure urban,54,NJ09,Rep. Bill Pascrell,D,17,"$57,764 ","$80,722 ","$29,737 ",0.486
NJ-08,Pure urban,55,NJ08,Rep. Albio Sires,D,7,"$52,363 ","$73,970 ","$27,874 ",0.486
MS-03,Pure rural,56,MS03,Rep. Gregg Harper,R,5,"$40,500 ","$58,168 ","$22,549 ",0.485
TX-23,Rural-suburban mix,57,TX23,Rep. Pete Gallego,D,1,"$46,956 ","$66,527 ","$21,544 ",0.485
TX-15,Sparse suburban,58,TX15,Rep. RubÃ©n Hinojosa,D,17,"$38,446 ","$54,727 ","$16,573 ",0.485
NY-15,Pure urban,59,NY15,Rep. JosÃ© Serrano,D,24,"$24,589 ","$36,161 ","$12,978 ",0.485
RI-01,Urban-suburban mix,60,RI01,Rep. David Cicilline,D,3,"$51,223 ","$70,832 ","$28,761 ",0.483
PA-14,Rural-suburban mix,61,PA14,Rep. Michael Doyle,D,19,"$39,380 ","$55,514 ","$25,516 ",0.482
TN-07,Pure rural,62,TN07,Rep. Marsha Blackburn,R,11,"$47,550 ","$66,867 ","$25,239 ",0.481
MO-01,Dense suburban,63,MO01,Rep. Wm. Clay,D,13,"$38,309 ","$53,838 ","$23,296 ",0.481
CA-11,Urban-suburban mix,63,CA11,Rep. George Miller,D,39,"$71,615 ","$102,227 ","$37,975 ",0.481
CA-34,Pure urban,65,CA34,Rep. Xavier Becerra,D,21,"$33,765 ","$48,335 ","$17,157 ",0.48
CA-36,Dense suburban,66,CA36,Rep. Raul Ruiz,D,1,"$44,034 ","$63,688 ","$23,571 ",0.48
KY-05,Pure rural,67,KY05,Rep. Harold Rogers,R,33,"$30,030 ","$43,081 ","$17,163 ",0.48
CA-48,Urban-suburban mix,68,CA48,Rep. Dana Rohrabacher,R,25,"$77,641 ","$109,580 ","$41,709 ",0.479
SC-06,Pure rural,69,SC06,Rep. James Clyburn,D,21,"$32,511 ","$45,531 ","$17,710 ",0.479
LA-03,Rural-suburban mix,70,LA03,Rep. Charles Boustany,R,9,"$43,391 ","$61,215 ","$23,832 ",0.479
WA-07,Urban-suburban mix,71,WA07,Rep. Jim McDermott,D,25,"$64,465 ","$89,399 ","$41,572 ",0.478
KY-03,Dense suburban,72,KY03,Rep. John Yarmuth,D,7,"$44,588 ","$62,957 ","$26,442 ",0.478
FL-24,Urban-suburban mix,73,FL24,Rep. Frederica Wilson,D,3,"$37,264 ","$51,523 ","$18,456 ",0.478
MA-05,Urban-suburban mix,74,MA05,Rep. Katherine Clark,D,0,"$79,004 ","$106,726 ","$42,756 ",0.478
MN-05,Urban-suburban mix,75,MN05,Rep. Keith Ellison,D,7,"$51,615 ","$71,321 ","$31,005 ",0.477
TX-21,Dense suburban,76,TX21,Rep. Lamar Smith,R,27,"$58,500 ","$82,071 ","$34,562 ",0.477
NY-03,Dense suburban,77,NY03,Rep. Steve Israel,D,13,"$97,462 ","$135,225 ","$47,991 ",0.477
CA-49,Dense suburban,78,CA49,Rep. Darrell Issa,R,13,"$69,868 ","$96,964 ","$35,084 ",0.476
CA-27,Urban-suburban mix,78,CA27,Rep. Judy Chu,D,5,"$66,850 ","$92,096 ","$32,663 ",0.476
LA-04,Pure rural,80,LA04,Rep. John Fleming,R,5,"$40,960 ","$57,292 ","$22,591 ",0.476
NC-04,Sparse suburban,81,NC04,Rep. David Price,D,17,"$47,612 ","$66,608 ","$26,684 ",0.476
TX-25,Rural-suburban mix,82,TX25,Rep. Roger Williams,R,1,"$58,381 ","$82,057 ","$29,728 ",0.475
TN-03,Rural-suburban mix,83,TN03,Rep. Charles Fleischmann,R,3,"$41,107 ","$57,571 ","$23,407 ",0.474
VA-05,Pure rural,84,VA05,Rep. Robert Hurt,R,3,"$46,378 ","$64,349 ","$25,686 ",0.474
GA-06,Dense suburban,85,GA06,Rep. Tom Price,R,9,"$75,672 ","$105,380 ","$40,882 ",0.473
MI-13,Dense suburban,86,MI13,Rep. John Conyers,D,49,"$30,863 ","$41,964 ","$16,746 ",0.473
NM-03,Pure rural,86,NM03,Rep. Ben LujÃ¡n,D,5,"$45,644 ","$62,739 ","$23,676 ",0.473
FL-21,Dense suburban,88,FL21,Rep. Theodore Deutch,D,4,"$54,554 ","$77,149 ","$30,774 ",0.473
NC-05,Rural-suburban mix,89,NC05,Rep. Virginia Foxx,R,9,"$41,929 ","$58,460 ","$23,883 ",0.473
LA-01,Rural-suburban mix,90,LA01,Rep. Steve Scalise,R,6,"$52,550 ","$72,979 ","$28,567 ",0.473
NC-09,Sparse suburban,90,NC09,Rep. Robert Pittenger,R,1,"$69,207 ","$98,313 ","$37,852 ",0.473
TX-24,Dense suburban,92,TX24,Rep. Kenny Marchant,R,9,"$61,195 ","$88,160 ","$35,965 ",0.472
TX-11,Rural-suburban mix,93,TX11,Rep. K. Conaway,R,9,"$46,663 ","$64,618 ","$24,643 ",0.472
CT-05,Sparse suburban,94,CT05,Rep. Elizabeth Esty,D,1,"$64,257 ","$88,160 ","$34,348 ",0.471
GA-12,Pure rural,95,GA12,Rep. John Barrow,D,9,"$40,277 ","$54,148 ","$20,203 ",0.471
WI-04,Urban-suburban mix,96,WI04,Rep. Gwen Moore,D,9,"$37,224 ","$51,905 ","$21,059 ",0.471
KY-06,Rural-suburban mix,97,KY06,Rep. Andy Barr,R,1,"$44,335 ","$60,756 ","$24,601 ",0.47
