district,Lcluster,ineq Rank,DistrictL,Representative,Party,years_in_house,Median_household_income,Mean_household_income,Per_capita_income,GiniIndex
CA-26,Dense suburban,225,CA26,Rep. Julia Brownley,D,1,"$72,661 ","$95,338 ","$31,373 ",0.449
PA-07,Sparse suburban,225,PA07,Rep. Patrick Meehan,R,3,"$76,960 ","$102,091 ","$37,932 ",0.449
RI-02,Sparse suburban,225,RI02,Rep. James Langevin,D,13,"$58,744 ","$75,918 ","$30,222 ",0.449
TN-06,Pure rural,228,TN06,Rep. Diane Black,R,3,"$43,666 ","$57,721 ","$22,587 ",0.449
WA-05,Rural-suburban mix,229,WA05,Rep. Cathy McMorris Rodgers,R,9,"$46,100 ","$60,013 ","$24,222 ",0.448
GA-09,Pure rural,230,GA09,Rep. Doug Collins,R,1,"$43,579 ","$57,790 ","$21,250 ",0.448
MI-03,Rural-suburban mix,231,MI03,Rep. Justin Amash,R,3,"$49,794 ","$64,961 ","$24,756 ",0.448
ND-AL,Rural-suburban mix,232,ND00,Rep. Kevin Cramer,R,1,"$52,427 ","$68,186 ","$28,977 ",0.448
KY-01,Pure rural,233,KY01,Rep. Ed Whitfield,R,19,"$38,112 ","$49,898 ","$20,152 ",0.447
KY-02,Pure rural,234,KY02,Rep. Brett Guthrie,R,5,"$43,381 ","$57,055 ","$22,287 ",0.447
NY-06,Pure urban,235,NY06,Rep. Grace Meng,D,1,"$56,229 ","$72,773 ","$28,064 ",0.447
LA-06,Rural-suburban mix,236,LA06,Rep. Bill Cassidy,R,5,"$55,549 ","$71,689 ","$27,567 ",0.446
AZ-01,Pure rural,237,AZ01,Rep. Ann Kirkpatrick,D,1,"$46,297 ","$59,686 ","$20,855 ",0.446
OR-05,Dense suburban,238,OR05,Rep. Kurt Schrader,D,5,"$51,165 ","$67,537 ","$26,247 ",0.446
SC-02,Rural-suburban mix,239,SC02,Rep. Joe Wilson,R,12,"$51,954 ","$67,687 ","$26,838 ",0.446
CA-01,Rural-suburban mix,240,CA01,Rep. Doug LaMalfa,R,1,"$44,522 ","$59,140 ","$23,834 ",0.446
FL-01,Rural-suburban mix,240,FL01,Rep. Jeff Miller,R,12,"$48,534 ","$63,784 ","$25,393 ",0.446
TX-36,Rural-suburban mix,240,TX36,Rep. Steve Stockman,R,1,"$52,308 ","$68,462 ","$24,781 ",0.446
VA-06,Rural-suburban mix,240,VA06,Rep. Bob Goodlatte,R,21,"$46,864 ","$61,063 ","$24,434 ",0.446
CA-05,Dense suburban,244,CA05,Rep. Mike Thompson,D,15,"$62,075 ","$81,331 ","$30,255 ",0.445
CA-21,Rural-suburban mix,245,CA21,Rep. David Valadao,R,1,"$37,357 ","$51,110 ","$13,966 ",0.445
TX-12,Sparse suburban,246,TX12,Rep. Kay Granger,R,17,"$56,811 ","$74,609 ","$28,492 ",0.445
MD-03,Dense suburban,247,MD03,Rep. John Sarbanes,D,7,"$74,954 ","$97,402 ","$38,787 ",0.445
NY-19,Pure rural,247,NY19,Rep. Christopher Gibson,R,3,"$55,541 ","$72,176 ","$28,579 ",0.445
TX-13,Rural-suburban mix,247,TX13,Rep. Mac Thornberry,R,19,"$45,999 ","$60,388 ","$22,922 ",0.445
KY-04,Rural-suburban mix,250,KY04,Rep. Thomas Massie,R,1,"$52,906 ","$68,475 ","$26,045 ",0.445
NC-11,Pure rural,251,NC11,Rep. Mark Meadows,R,1,"$39,736 ","$51,761 ","$21,701 ",0.445
OK-02,Pure rural,251,OK02,Rep. Markwayne Mullin,R,1,"$38,050 ","$49,551 ","$19,459 ",0.445
PA-03,Pure urban,251,PA03,Rep. Mike Kelly,R,3,"$45,234 ","$59,433 ","$24,327 ",0.445
OR-02,Rural-suburban mix,251,OR02,Rep. Greg Walden,R,15,"$42,373 ","$56,083 ","$22,818 ",0.445
UT-02,Rural-suburban mix,251,UT02,Rep. Chris Stewart,R,1,"$51,276 ","$66,316 ","$22,911 ",0.445
MI-01,Pure rural,256,MI01,Rep. Dan Benishek,R,3,"$41,915 ","$54,787 ","$23,202 ",0.444
MI-08,Sparse suburban,256,MI08,Rep. Mike Rogers,R,13,"$60,016 ","$77,027 ","$29,552 ",0.444
IL-02,Dense suburban,258,IL02,Rep. Robin Kelly,D,1,"$45,748 ","$57,784 ","$21,763 ",0.444
SC-01,Sparse suburban,259,SC01,Rep. Mark Sanford,R,1,"$55,949 ","$73,679 ","$29,559 ",0.444
MI-05,Sparse suburban,260,MI05,Rep. Daniel Kildee,D,1,"$40,365 ","$52,297 ","$21,351 ",0.444
CA-04,Rural-suburban mix,261,CA04,Rep. Tom McClintock,R,5,"$62,729 ","$82,039 ","$31,917 ",0.444
MI-04,Pure rural,262,MI04,Rep. Dave Camp,R,23,"$42,735 ","$56,425 ","$22,229 ",0.443
ME-01,Rural-suburban mix,262,ME01,Rep. Chellie Pingree,D,5,"$54,062 ","$70,112 ","$29,650 ",0.443
CA-31,Dense suburban,264,CA31,Rep. Gary Miller,R,15,"$53,586 ","$69,686 ","$21,726 ",0.443
CO-04,Rural-suburban mix,264,CO04,Rep. Cory Gardner,R,3,"$60,983 ","$78,973 ","$29,169 ",0.443
FL-20,Urban-suburban mix,264,FL20,Rep. Alcee Hastings,D,21,"$36,634 ","$47,967 ","$17,934 ",0.443
MO-07,Rural-suburban mix,267,MO07,Rep. Billy Long,R,3,"$40,684 ","$53,741 ","$21,649 ",0.443
MA-02,Rural-suburban mix,268,MA02,Rep. James McGovern,D,17,"$61,822 ","$78,710 ","$30,105 ",0.443
MI-11,Sparse suburban,269,MI11,Rep. Kerry Bentivolio,R,1,"$70,417 ","$92,053 ","$36,374 ",0.442
CA-09,Dense suburban,270,CA09,Rep. Jerry McNerney,D,7,"$53,645 ","$70,939 ","$22,836 ",0.442
TX-35,Dense suburban,271,TX35,Rep. Lloyd Doggett,D,19,"$38,767 ","$50,050 ","$17,613 ",0.442
CA-10,Dense suburban,272,CA10,Rep. Jeff Denham,R,3,"$51,657 ","$67,191 ","$21,970 ",0.442
CA-50,Dense suburban,272,CA50,Rep. Duncan Hunter,R,5,"$57,854 ","$75,099 ","$25,728 ",0.442
MO-04,Pure rural,274,MO04,Rep. Vicky Hartzler,R,3,"$43,481 ","$56,546 ","$22,198 ",0.442
NJ-01,Dense suburban,275,NJ01,OPEN,OPEN,0,"$62,889 ","$79,451 ","$30,144 ",0.441
CO-05,Dense suburban,276,CO05,Rep. Doug Lamborn,R,7,"$54,220 ","$71,244 ","$27,680 ",0.441
OK-03,Pure rural,277,OK03,Rep. Frank Lucas,R,20,"$44,889 ","$58,813 ","$22,843 ",0.441
OR-01,Dense suburban,278,OR01,Rep. Suzanne Bonamici,D,2,"$60,176 ","$78,114 ","$30,375 ",0.441
NC-08,Pure rural,278,NC08,Rep. Richard Hudson,R,1,"$40,712 ","$52,379 ","$19,674 ",0.441
IL-06,Sparse suburban,280,IL06,Rep. Peter Roskam,R,7,"$88,128 ","$114,033 ","$41,782 ",0.441
CA-51,Urban-suburban mix,281,CA51,Rep. Juan Vargas,D,1,"$40,449 ","$52,904 ","$16,173 ",0.441
MT-AL,Pure rural,282,MT00,Rep. Steve Daines,R,1,"$45,072 ","$59,139 ","$24,772 ",0.441
NJ-02,Rural-suburban mix,282,NJ02,Rep. Frank LoBiondo,R,19,"$57,378 ","$74,141 ","$28,013 ",0.441
NY-24,Rural-suburban mix,282,NY24,Rep. Daniel Maffei,D,1,"$52,248 ","$66,565 ","$26,769 ",0.441
OH-15,Rural-suburban mix,282,OH15,Rep. Steve Stivers,R,3,"$54,349 ","$69,602 ","$26,825 ",0.441
NJ-11,Sparse suburban,282,NJ11,Rep. Rodney Frelinghuysen,R,19,"$96,889 ","$125,441 ","$46,589 ",0.441
IA-02,Rural-suburban mix,287,IA02,Rep. David Loebsack,D,7,"$48,438 ","$62,249 ","$25,500 ",0.44
TN-04,Rural-suburban mix,288,TN04,Rep. Scott DesJarlais,R,3,"$43,789 ","$56,824 ","$21,820 ",0.44
UT-03,Sparse suburban,289,UT03,Rep. Jason Chaffetz,R,5,"$61,041 ","$78,738 ","$23,928 ",0.44
NY-23,Pure rural,290,NY23,Rep. Tom Reed,R,3,"$46,201 ","$59,045 ","$23,802 ",0.439
CO-06,Dense suburban,291,CO06,Rep. Mike Coffman,R,5,"$65,451 ","$85,858 ","$32,106 ",0.439
CA-45,Urban-suburban mix,291,CA45,Rep. John Campbell,R,8,"$89,601 ","$113,427 ","$41,126 ",0.439
IN-09,Rural-suburban mix,293,IN09,Rep. Todd Young,R,3,"$48,255 ","$61,513 ","$24,214 ",0.439
PA-06,Sparse suburban,293,PA06,Rep. Jim Gerlach,R,11,"$72,484 ","$95,557 ","$36,815 ",0.439
DE-AL,Sparse suburban,295,DE00,Rep. John Carney,D,3,"$59,144 ","$76,213 ","$29,171 ",0.439
NY-20,Sparse suburban,296,NY20,Rep. Paul Tonko,D,5,"$58,684 ","$74,165 ","$30,653 ",0.438
PA-15,Pure rural,297,PA15,Rep. Charles Dent,R,9,"$55,580 ","$72,215 ","$28,034 ",0.438
ID-02,Rural-suburban mix,298,ID02,Rep. Michael Simpson,R,15,"$44,377 ","$58,485 ","$22,015 ",0.438
NJ-06,Dense suburban,299,NJ06,Rep. Frank Pallone,D,25,"$74,204 ","$93,826 ","$32,962 ",0.438
VT-AL,Pure rural,300,VT00,Rep. Peter Welch,D,7,"$53,037 ","$68,149 ","$28,576 ",0.438
PA-18,Urban-suburban mix,301,PA18,Rep. Tim Murphy,R,11,"$57,365 ","$74,536 ","$31,053 ",0.438
GA-07,Sparse suburban,302,GA07,Rep. Rob Woodall,R,3,"$63,302 ","$82,112 ","$27,735 ",0.437
NC-03,Pure rural,303,NC03,Rep. Walter Jones,R,19,"$45,177 ","$58,173 ","$23,236 ",0.437
NY-14,Pure urban,303,NY14,Rep. Joseph Crowley,D,15,"$48,727 ","$62,361 ","$22,709 ",0.437
IN-01,Sparse suburban,305,IN01,Rep. Peter Visclosky,D,29,"$50,497 ","$63,150 ","$24,021 ",0.437
WA-06,Rural-suburban mix,306,WA06,Rep. Derek Kilmer,D,1,"$52,535 ","$68,131 ","$28,245 ",0.437
PA-05,Urban-suburban mix,307,PA05,Rep. Glenn Thompson,R,5,"$44,415 ","$56,917 ","$22,965 ",0.437
NC-13,Rural-suburban mix,308,NC13,Rep. George Holding,R,1,"$62,464 ","$81,468 ","$31,297 ",0.437
MO-06,Rural-suburban mix,309,MO06,Rep. Sam Graves,R,13,"$50,969 ","$65,699 ","$25,529 ",0.436
AZ-03,Dense suburban,310,AZ03,Rep. RaÃºl Grijalva,D,11,"$40,551 ","$52,018 ","$16,795 ",0.436
TX-20,Dense suburban,311,TX20,Rep. Joaquin Castro,D,1,"$45,340 ","$57,850 ","$20,597 ",0.436
NY-22,Rural-suburban mix,311,NY22,Rep. Richard Hanna,R,3,"$47,249 ","$60,524 ","$24,195 ",0.436
SD-AL,Pure rural,313,SD00,Rep. Kristi Noem,R,3,"$48,900 ","$62,843 ","$25,226 ",0.436
HI-02,Rural-suburban mix,313,HI02,Rep. Tulsi Gabbard,D,1,"$61,256 ","$77,376 ","$26,163 ",0.436
KS-02,Pure rural,315,KS02,Rep. Lynn Jenkins,R,5,"$46,634 ","$59,484 ","$23,760 ",0.436
NV-03,Urban-suburban mix,316,NV03,Rep. Joseph Heck,R,3,"$62,954 ","$81,920 ","$31,814 ",0.435
OH-06,Pure rural,317,OH06,Rep. Bill Johnson,R,3,"$41,220 ","$53,395 ","$21,604 ",0.435
KS-04,Sparse suburban,317,KS04,Rep. Mike Pompeo,R,3,"$47,921 ","$62,150 ","$24,489 ",0.435
FL-17,Rural-suburban mix,319,FL17,Rep. Thomas Rooney,R,5,"$41,906 ","$55,078 ","$22,012 ",0.435
WI-02,Rural-suburban mix,319,WI02,Rep. Mark Pocan,D,1,"$56,859 ","$72,568 ","$30,141 ",0.435
OH-13,Sparse suburban,321,OH13,Rep. Tim Ryan,D,11,"$40,464 ","$51,330 ","$21,837 ",0.435
ME-02,Pure rural,322,ME02,Rep. Michael Michaud,D,11,"$41,526 ","$53,746 ","$22,930 ",0.435
GA-04,Sparse suburban,322,GA04,Rep. Henry Johnson,D,7,"$48,200 ","$61,825 ","$22,239 ",0.435
GA-13,Sparse suburban,324,GA13,Rep. David Scott,D,11,"$48,598 ","$62,750 ","$22,716 ",0.434
NY-04,Urban-suburban mix,324,NY04,Rep. Carolyn McCarthy,D,17,"$90,503 ","$112,856 ","$37,701 ",0.434
CA-08,Rural-suburban mix,326,CA08,Rep. Paul Cook,R,1,"$46,240 ","$59,213 ","$19,939 ",0.434
PA-16,Rural-suburban mix,327,PA16,Rep. Joseph Pitts,R,17,"$51,622 ","$66,160 ","$25,008 ",0.433
WA-04,Rural-suburban mix,328,WA04,Rep. Doc Hastings,R,19,"$48,820 ","$62,934 ","$21,876 ",0.433
IL-04,Pure urban,329,IL04,Rep. Luis Gutierrez,D,21,"$42,197 ","$55,549 ","$18,069 ",0.433
IL-15,Pure rural,330,IL15,Rep. John Shimkus,R,17,"$45,690 ","$59,053 ","$23,703 ",0.433
CA-29,Pure urban,330,CA29,Rep. Tony CÃ¡rdenas,D,1,"$45,412 ","$58,852 ","$17,870 ",0.433
GA-14,Rural-suburban mix,332,GA14,Rep. Tom Graves,R,4,"$43,431 ","$55,508 ","$20,217 ",0.433
WA-01,Sparse suburban,332,WA01,Rep. Suzan DelBene,D,1,"$77,867 ","$98,750 ","$37,432 ",0.433
VA-08,Urban-suburban mix,332,VA08,Rep. James Moran,D,23,"$93,118 ","$120,953 ","$50,210 ",0.433
NH-01,Rural-suburban mix,335,NH01,Rep. Carol Shea-Porter,D,1,"$64,632 ","$82,660 ","$33,130 ",0.433
PA-17,Sparse suburban,335,PA17,Rep. Matt Cartwright,D,1,"$47,222 ","$60,573 ","$24,387 ",0.433
OK-04,Rural-suburban mix,337,OK04,Rep. Tom Cole,R,11,"$48,244 ","$61,437 ","$23,798 ",0.432
CA-25,Dense suburban,338,CA25,Rep. Howard McKeon,R,21,"$71,607 ","$89,045 ","$28,124 ",0.432
IA-04,Pure rural,339,IA04,Rep. Steve King,R,11,"$47,157 ","$60,178 ","$25,000 ",0.432
IL-17,Rural-suburban mix,340,IL17,Rep. Cheri Bustos,D,1,"$42,262 ","$54,021 ","$22,405 ",0.432
OH-05,Rural-suburban mix,341,OH05,Rep. Robert Latta,R,6,"$50,051 ","$63,823 ","$25,728 ",0.432
NY-05,Pure urban,342,NY05,Rep. Gregory Meeks,D,16,"$59,313 ","$74,413 ","$23,499 ",0.431
CA-39,Dense suburban,343,CA39,Rep. Edward Royce,R,21,"$76,217 ","$97,207 ","$30,965 ",0.431
OH-08,Rural-suburban mix,343,OH08,Rep. John Boehner,R,23,"$50,409 ","$63,909 ","$24,759 ",0.431
TX-03,Dense suburban,345,TX03,Rep. Sam Johnson,R,23,"$83,554 ","$105,045 ","$38,142 ",0.431
PA-08,Rural-suburban mix,346,PA08,Rep. Michael Fitzpatrick,R,3,"$75,022 ","$96,080 ","$36,157 ",0.43
FL-11,Rural-suburban mix,347,FL11,Rep. Richard Nugent,R,3,"$39,115 ","$50,809 ","$21,893 ",0.43
IN-02,Rural-suburban mix,348,IN02,Rep. Jackie Walorski,R,1,"$45,024 ","$57,705 ","$22,023 ",0.43
WI-06,Rural-suburban mix,348,WI06,Rep. Thomas Petri,R,35,"$52,598 ","$67,580 ","$27,618 ",0.43
MD-01,Rural-suburban mix,350,MD01,Rep. Andy Harris,R,3,"$66,802 ","$83,642 ","$31,586 ",0.43
CA-44,Pure urban,351,CA44,Rep. Janice Hahn,D,3,"$44,856 ","$57,580 ","$15,799 ",0.429
IN-06,Pure rural,352,IN06,Rep. Luke Messer,R,1,"$44,418 ","$56,968 ","$22,462 ",0.429
IL-03,Urban-suburban mix,352,IL03,Rep. Daniel Lipinski,D,9,"$60,093 ","$75,793 ","$26,731 ",0.429
NH-02,Pure rural,354,NH02,Rep. Ann Kuster,D,1,"$63,069 ","$80,073 ","$31,758 ",0.429
IN-08,Rural-suburban mix,355,IN08,Rep. Larry Bucshon,R,3,"$45,739 ","$58,095 ","$23,030 ",0.429
KS-01,Pure rural,356,KS01,Rep. Tim Huelskamp,R,3,"$45,284 ","$58,447 ","$23,173 ",0.429
TX-29,Dense suburban,357,TX29,Rep. Gene Green,D,21,"$37,120 ","$48,176 ","$14,937 ",0.429
CA-41,Dense suburban,358,CA41,Rep. Mark Takano,D,1,"$51,715 ","$65,557 ","$18,618 ",0.428
IL-18,Rural-suburban mix,359,IL18,Rep. Aaron Schock,R,5,"$57,184 ","$72,423 ","$29,047 ",0.428
IN-04,Rural-suburban mix,359,IN04,Rep. Todd Rokita,R,3,"$49,187 ","$62,729 ","$24,200 ",0.428
IA-03,Sparse suburban,361,IA03,Rep. Tom Latham,R,19,"$55,499 ","$70,575 ","$28,319 ",0.428
PA-11,Sparse suburban,362,PA11,Rep. Lou Barletta,R,3,"$49,767 ","$62,961 ","$25,782 ",0.428
WI-05,Sparse suburban,362,WI05,Rep. F. Sensenbrenner,R,35,"$61,749 ","$78,465 ","$32,193 ",0.428
WI-07,Pure rural,364,WI07,Rep. Sean Duffy,R,3,"$46,620 ","$59,726 ","$25,036 ",0.427
NV-04,Urban-suburban mix,365,NV04,Rep. Steven Horsford,D,1,"$51,779 ","$65,612 ","$23,583 ",0.427
NY-21,Pure rural,366,NY21,Rep. William Owens,D,4,"$48,904 ","$61,513 ","$24,664 ",0.427
MN-08,Pure rural,367,MN08,Rep. Richard Nolan,D,1,"$47,302 ","$59,264 ","$24,770 ",0.427
MN-01,Rural-suburban mix,368,MN01,Rep. Timothy Walz,D,7,"$53,255 ","$66,771 ","$26,857 ",0.427
CA-53,Urban-suburban mix,369,CA53,Rep. Susan Davis,D,13,"$61,155 ","$76,381 ","$28,843 ",0.427
VA-07,Rural-suburban mix,370,VA07,Rep. Eric Cantor,R,13,"$69,725 ","$90,153 ","$34,385 ",0.426
WA-03,Rural-suburban mix,371,WA03,Rep. Jaime Herrera Beutler,R,3,"$51,704 ","$65,681 ","$25,376 ",0.426
MI-02,Rural-suburban mix,372,MI02,Rep. Bill Huizenga,R,3,"$46,703 ","$59,187 ","$22,439 ",0.426
VA-02,Dense suburban,373,VA02,Rep. E. Rigell,R,3,"$60,316 ","$76,734 ","$30,214 ",0.426
CA-40,Pure urban,374,CA40,Rep. Lucille Roybal-Allard,D,21,"$39,103 ","$49,861 ","$13,415 ",0.426
NE-01,Rural-suburban mix,375,NE01,Rep. Jeff Fortenberry,R,9,"$52,191 ","$65,724 ","$26,155 ",0.426
TX-22,Sparse suburban,375,TX22,Rep. Pete Olson,R,5,"$82,284 ","$102,026 ","$33,764 ",0.426
ID-01,Rural-suburban mix,377,ID01,Rep. RaÃºl Labrador,R,3,"$46,399 ","$58,563 ","$21,919 ",0.425
AZ-04,Rural-suburban mix,378,AZ04,Rep. Paul Gosar,R,3,"$42,948 ","$54,707 ","$22,033 ",0.425
CA-07,Dense suburban,379,CA07,Rep. Ami Bera,D,1,"$62,996 ","$79,076 ","$28,719 ",0.425
CT-02,Rural-suburban mix,380,CT02,Rep. Joe Courtney,D,7,"$70,527 ","$87,410 ","$33,859 ",0.424
OH-07,Rural-suburban mix,381,OH07,Rep. Bob Gibbs,R,3,"$47,339 ","$60,136 ","$23,460 ",0.424
PA-10,Sparse suburban,381,PA10,Rep. Tom Marino,R,3,"$47,708 ","$60,478 ","$23,819 ",0.424
CA-15,Urban-suburban mix,383,CA15,Rep. Eric Swalwell,D,1,"$86,286 ","$106,850 ","$36,192 ",0.424
WI-03,Pure rural,384,WI03,Rep. Ron Kind,D,17,"$47,261 ","$59,071 ","$24,027 ",0.424
NJ-03,Sparse suburban,384,NJ03,Rep. Jon Runyan,R,3,"$71,330 ","$89,915 ","$34,782 ",0.424
PA-09,Pure rural,386,PA09,Rep. Bill Shuster,R,13,"$43,104 ","$54,703 ","$22,271 ",0.423
IL-11,Dense suburban,387,IL11,Rep. Bill Foster,D,1,"$66,503 ","$84,089 ","$29,074 ",0.423
IN-03,Rural-suburban mix,388,IN03,Rep. Marlin Stutzman,R,3,"$48,010 ","$60,993 ","$23,575 ",0.423
TX-06,Dense suburban,389,TX06,Rep. Joe Barton,R,29,"$57,914 ","$73,215 ","$26,404 ",0.422
VA-10,Sparse suburban,390,VA10,Rep. Frank Wolf,R,33,"$111,910 ","$140,195 ","$47,281 ",0.422
NE-03,Pure rural,391,NE03,Rep. Adrian Smith,R,7,"$45,726 ","$57,743 ","$23,860 ",0.422
HI-01,Urban-suburban mix,392,HI01,Rep. Colleen Hanabusa,D,3,"$69,430 ","$86,521 ","$30,558 ",0.422
WI-08,Rural-suburban mix,393,WI08,Rep. Reid Ribble,R,3,"$52,436 ","$65,743 ","$26,785 ",0.421
FL-09,Sparse suburban,394,FL09,Rep. Alan Grayson,D,1,"$43,976 ","$56,348 ","$20,125 ",0.421
WI-01,Sparse suburban,395,WI01,Rep. Paul Ryan,R,15,"$57,730 ","$72,108 ","$28,260 ",0.421
TX-33,Dense suburban,396,TX33,Rep. Marc Veasey,D,1,"$33,647 ","$43,085 ","$13,801 ",0.42
CO-07,Dense suburban,397,CO07,Rep. Ed Perlmutter,D,7,"$57,249 ","$72,142 ","$28,166 ",0.42
IL-16,Rural-suburban mix,398,IL16,Rep. Adam Kinzinger,R,3,"$53,487 ","$66,351 ","$25,723 ",0.42
MI-07,Pure rural,399,MI07,Rep. Tim Walberg,R,3,"$50,500 ","$62,665 ","$24,296 ",0.42
MN-07,Pure rural,400,MN07,Rep. Collin Peterson,D,23,"$49,027 ","$60,626 ","$25,046 ",0.419
AZ-05,Dense suburban,401,AZ05,Rep. Matt Salmon,R,1,"$62,203 ","$78,743 ","$29,001 ",0.419
AK-AL,Pure rural,402,AK00,Rep. Don Young,R,41,"$68,818 ","$85,203 ","$32,133 ",0.418
WY-AL,Pure rural,403,WY00,Rep. Cynthia Lummis,R,5,"$55,979 ","$69,744 ","$28,479 ",0.418
IA-01,Rural-suburban mix,404,IA01,Rep. Bruce Braley,D,7,"$51,714 ","$64,571 ","$26,297 ",0.418
MD-02,Dense suburban,405,MD02,Rep. C. Ruppersberger,D,11,"$60,398 ","$74,922 ","$29,277 ",0.418
NY-27,Pure rural,406,NY27,Rep. Chris Collins,R,1,"$58,161 ","$72,721 ","$28,866 ",0.417
NY-01,Sparse suburban,406,NY01,Rep. Timothy Bishop,D,11,"$85,378 ","$103,879 ","$36,344 ",0.417
OH-04,Rural-suburban mix,408,OH04,Rep. Jim Jordan,R,7,"$45,990 ","$57,648 ","$22,535 ",0.416
PA-04,Sparse suburban,409,PA04,Rep. Scott Perry,R,1,"$56,320 ","$69,995 ","$27,924 ",0.416
MI-10,Rural-suburban mix,410,MI10,Rep. Candice Miller,R,11,"$53,764 ","$67,477 ","$26,144 ",0.416
WA-08,Sparse suburban,410,WA08,Rep. David Reichert,R,9,"$69,753 ","$86,818 ","$32,114 ",0.416
WA-02,Dense suburban,412,WA02,Rep. Rick Larsen,D,13,"$56,690 ","$69,651 ","$28,205 ",0.415
OH-16,Sparse suburban,413,OH16,Rep. James Renacci,R,3,"$57,634 ","$72,869 ","$29,266 ",0.414
UT-01,Sparse suburban,414,UT01,Rep. Rob Bishop,R,11,"$57,985 ","$72,423 ","$23,717 ",0.413
CA-32,Urban-suburban mix,415,CA32,Rep. Grace Napolitano,D,15,"$58,377 ","$71,808 ","$20,763 ",0.413
CA-46,Pure urban,416,CA46,Rep. Loretta Sanchez,D,17,"$53,544 ","$66,985 ","$18,343 ",0.413
VA-01,Rural-suburban mix,417,VA01,Rep. Robert Wittman,R,6,"$76,134 ","$93,023 ","$33,627 ",0.411
CA-38,Pure urban,418,CA38,Rep. Linda SÃ¡nchez,D,11,"$61,220 ","$75,406 ","$22,789 ",0.411
CA-17,Pure urban,419,CA17,Rep. Michael Honda,D,13,"$97,228 ","$114,629 ","$39,178 ",0.409
VA-04,Rural-suburban mix,420,VA04,Rep. J. Forbes,R,13,"$61,755 ","$75,055 ","$27,216 ",0.409
TX-31,Sparse suburban,421,TX31,Rep. John Carter,R,11,"$60,968 ","$75,057 ","$27,274 ",0.407
MO-03,Rural-suburban mix,422,MO03,Rep. Blaine Luetkemeyer,R,5,"$53,104 ","$65,208 ","$25,160 ",0.406
TX-26,Sparse suburban,423,TX26,Rep. Michael Burgess,R,11,"$76,861 ","$93,639 ","$32,564 ",0.405
WA-10,Dense suburban,424,WA10,Rep. Denny Heck,D,1,"$57,117 ","$68,556 ","$26,645 ",0.404
IL-08,Dense suburban,425,IL08,Rep. Tammy Duckworth,D,1,"$62,375 ","$76,455 ","$27,557 ",0.402
MD-04,Dense suburban,426,MD04,Rep. Donna Edwards,D,6,"$72,629 ","$89,837 ","$33,431 ",0.401
IL-14,Sparse suburban,427,IL14,Rep. Randy Hultgren,R,3,"$81,257 ","$97,873 ","$33,873 ",0.4
MN-02,Sparse suburban,428,MN02,Rep. John Kline,R,11,"$72,307 ","$87,354 ","$33,000 ",0.4
CA-42,Sparse suburban,429,CA42,Rep. Ken Calvert,R,21,"$71,392 ","$85,381 ","$25,817 ",0.399
AZ-08,Dense suburban,430,AZ08,Rep. Trent Franks,R,11,"$56,590 ","$70,158 ","$26,912 ",0.399
CA-35,Urban-suburban mix,431,CA35,Rep. Gloria Negrete McLeod,D,1,"$53,156 ","$63,492 ","$17,189 ",0.397
VA-11,Dense suburban,432,VA11,Rep. Gerald Connolly,D,5,"$100,800 ","$122,576 ","$43,721 ",0.394
UT-04,Dense suburban,433,UT04,Rep. Jim Matheson,D,13,"$59,527 ","$70,283 ","$22,472 ",0.389
NY-02,Dense suburban,434,NY02,Rep. Peter King,R,21,"$85,174 ","$100,146 ","$32,858 ",0.388
MD-05,Sparse suburban,435,MD05,Rep. Steny Hoyer,D,33,"$89,342 ","$104,686 ","$36,934 ",0.387
MN-06,Rural-suburban mix,436,MN06,Rep. Michele Bachmann,R,7,"$68,428 ","$79,585 ","$29,026 ",0.385
