CD,Cluster,Very low density,Low density,Medium density,High density,Incumbent,Party,Clinton16,Trump16,Obama12,Romney12,Obama08,McCain08,cong_R16,cong_D16,cong_Other16,PVI,cook_rating,cook_score,is_competitive_cook,D538,is_competitive538,Pure rural,Rural-suburban mix,Sparse suburban,Dense suburban,Urban-suburban mix,Pure urban
PA-18,Urban-suburban mix,0.009496733,0.220148063,0.354160579,0.416194625,Conor Lamb,D,0.621,0.346,0.635,0.352,0.634,0.357,0.983935218,0,0.016064782,-13,Solid D,-3,0,1,0,0.021402223,0.038715539,0.072652997,0.186510734,0.646327193,0.034391314
RI-01,Urban-suburban mix,0.023136914,0.308334586,0.243435656,0.425092843,David Cicilline,D,0.605,0.349,0.662,0.322,0.666,0.318,0.35094403,0.645033774,0.004022196,-14,Solid D,-3,0,0.9999,0,0.046786503,0.087223324,0.151714101,0.190345337,0.453608532,0.070322203
RI-02,Sparse suburban,0.138017382,0.349872712,0.306848677,0.205261229,James Langevin,D,0.511,0.44,0.598,0.383,0.599,0.383,0.30679299,0.580882225,0.112324786,-6,Solid D,-3,0,0.9999,0,0.045761998,0.147069548,0.52328322,0.182869497,0.081543218,0.019472519
SC-01,Sparse suburban,0.142487517,0.560791225,0.279884308,0.01683695,Mark Sanford,R,0.404,0.535,0.402,0.583,0.427,0.561,0.585570625,0.339942184,0.074487191,10,Lean R,1,1,0.0976,0,0.06194928,0.208042547,0.591665729,0.080949476,0.041017716,0.016375253
SC-02,Rural-suburban mix,0.268180572,0.552858999,0.170807244,0.008153185,Joe Wilson,R,0.386,0.563,0.394,0.591,0.394,0.595,0.602453803,0.345270102,0.052276095,13,Solid R,3,0,0.005,0,0.126086405,0.482983897,0.264001979,0.066438878,0.041627937,0.018860905
SC-03,Pure rural,0.532498713,0.431304102,0.036197185,0,Jeff Duncan,R,0.29,0.67,0.339,0.645,0.351,0.635,0.728237932,0.270719793,0.001042275,19,Solid R,3,0,9.00E-04,0,0.620339251,0.253415816,0.058872531,0.030151847,0.02386893,0.013351625
SC-04,Sparse suburban,0.114331171,0.652144113,0.223198212,0.010326503,Trey Gowdy,R,0.345,0.602,0.362,0.622,0.377,0.606,0.671857138,0.310061893,0.018080969,15,Solid R,3,0,2.00E-04,0,0.096943135,0.249971826,0.45225611,0.107599815,0.064271179,0.028957936
SC-05,Pure rural,0.472599897,0.452153527,0.075246576,0,Ralph Norman,R,0.388,0.573,0.436,0.551,0.438,0.55,0.590732787,0.387657372,6.58E-04,9,Solid R,3,0,0.0234,0,0.426544399,0.420185856,0.077791316,0.035247049,0.026377746,0.013853635
SC-06,Pure rural,0.524308545,0.250847958,0.188502844,0.036340653,James Clyburn,D,0.668,0.303,0.709,0.281,0.701,0.289,0.276087924,0.700851907,0.044011808,-20,Solid D,-3,0,0.9999,0,0.690845955,0.219155922,0.039629032,0.024523813,0.017546258,0.008299021
SC-07,Rural-suburban mix,0.461295249,0.448676068,0.090028683,0,Tom Rice,R,0.391,0.58,0.444,0.545,0.453,0.536,0.609639229,0.357399737,0.032961035,9,Solid R,3,0,0.0077,0,0.3835965,0.466827139,0.077477136,0.034142089,0.025063323,0.012893813
SD-AL,Pure rural,0.52743862,0.244179279,0.208931698,0.019450403,Kristi Noem,R,0.317,0.615,0.399,0.579,0.447,0.532,0.641027859,0.358972141,0,14,Solid R,3,0,0.0137,0,0.64570954,0.247646887,0.047188003,0.02948032,0.020407276,0.009567973
TN-01,Rural-suburban mix,0.41338735,0.508433818,0.078178831,0,David Roe,R,0.197,0.767,0.257,0.727,0.286,0.699,0.783689359,0.154229819,0.062080822,28,Solid R,3,0,0,0,0.276876479,0.507796293,0.116965942,0.046628768,0.034111147,0.017621371
TN-02,Rural-suburban mix,0.231216773,0.501466762,0.248685008,0.018631456,John Duncan,R,0.297,0.651,0.309,0.673,0.345,0.64,0.756455265,0.243544735,0,20,Solid R,3,0,2.00E-04,0,0.07714128,0.409758553,0.402037936,0.063867129,0.033722417,0.013472684
TN-03,Rural-suburban mix,0.416752287,0.448252783,0.134994929,0,Charles Fleischmann,R,0.302,0.654,0.351,0.633,0.373,0.613,0.66394367,0.288440862,0.047615467,18,Solid R,3,0,5.00E-04,0,0.20713124,0.658956776,0.075169278,0.029189107,0.019957333,0.009596266
TN-04,Rural-suburban mix,0.473693516,0.356642753,0.160757813,0.008905918,Scott DesJarlais,R,0.274,0.686,0.331,0.653,0.358,0.626,0.650341065,0.349658935,0,20,Solid R,3,0,0.0044,0,0.409472214,0.500166586,0.046043762,0.021997023,0.015138012,0.007182402
TN-05,Sparse suburban,0.125799159,0.350637412,0.442163907,0.081399523,Jim Cooper,D,0.565,0.382,0.559,0.425,0.575,0.413,0.374466265,0.625533735,0,-7,Solid D,-3,0,0.9998,0,0.023148423,0.070718861,0.715602916,0.151827483,0.030366602,0.008335716
TN-06,Pure rural,0.536049439,0.431964445,0.031986116,0,Diane Black,R,0.237,0.726,0.295,0.691,0.335,0.649,0.710865057,0.217916271,0.071218672,24,Solid R,3,0,0,0,0.624480375,0.248384032,0.05898121,0.030392924,0.024166858,0.013594603
TN-07,Pure rural,0.519872326,0.377338775,0.102788899,0,Marsha Blackburn,R,0.282,0.675,0.329,0.657,0.363,0.624,0.722153557,0.235037638,0.042808805,20,Solid R,3,0,2.00E-04,0,0.710646628,0.215630457,0.035293936,0.018021796,0.013431896,0.006975287
TN-08,Rural-suburban mix,0.459185353,0.402387485,0.138427162,0,David Kustoff,R,0.307,0.663,0.329,0.661,0.349,0.641,0.687524979,0.250855047,0.061619974,19,Solid R,3,0,0,0,0.334821158,0.557388874,0.056789603,0.025086063,0.017442551,0.008471751
TN-09,Dense suburban,0.041139927,0.236308728,0.642656781,0.079894564,Steve Cohen,D,0.775,0.198,0.784,0.209,0.77,0.225,0.18867483,0.787453489,0.023871681,-28,Solid D,-3,0,1,0,0.038018979,0.074170296,0.193347415,0.593732989,0.078982167,0.021748154
TX-01,Pure rural,0.523052012,0.340597362,0.136350626,0,Louie Gohmert,R,0.253,0.722,0.275,0.716,0.3,0.69,0.738968315,0.241339585,0.0196921,25,Solid R,3,0,0,0,0.776842572,0.169662357,0.025400629,0.013451492,0.00974327,0.004899681
TX-02,Dense suburban,0.021372581,0.279909518,0.490899918,0.207817983,Ted Poe,R,0.431,0.524,0.356,0.629,0.37,0.62,0.606291062,0.360237352,0.033471585,11,Likely R,2,1,0.0709,0,0.010840126,0.023926333,0.089333771,0.828170496,0.040075284,0.007653991
TX-03,Dense suburban,0.02678056,0.22977602,0.59405024,0.14939318,Sam Johnson,R,0.406,0.548,0.342,0.643,0.37,0.61,0.612019579,0.34575485,0.042225572,13,Solid R,3,0,0.0061,0,0.01766258,0.035292877,0.099549548,0.785821524,0.050045755,0.011627715
TX-04,Pure rural,0.598125188,0.344794397,0.057080414,0,John Ratcliffe,R,0.218,0.754,0.248,0.74,0.29,0.7,0.879875721,0,0.120124279,28,Solid R,3,0,0,0,0.90719986,0.059116304,0.014515832,0.008499215,0.006815968,0.003852821
TX-05,Rural-suburban mix,0.331925591,0.285746038,0.269122404,0.113205966,Jeb Hensarling,R,0.343,0.627,0.344,0.645,0.37,0.62,0.80606092,0,0.19393908,16,Solid R,3,0,6.00E-04,0,0.104348863,0.635139992,0.142715471,0.067584927,0.037508295,0.012702452
TX-06,Dense suburban,0.135916244,0.272068919,0.538002918,0.05401192,Joe Barton,R,0.419,0.542,0.408,0.579,0.42,0.57,0.583411393,0.390298431,0.026290176,9,Solid R,3,0,0.0558,0,0.044804003,0.106967833,0.333059411,0.434640241,0.063080852,0.017447661
TX-07,Urban-suburban mix,7.18E-04,0.09569149,0.433006706,0.47058403,John Culberson,R,0.485,0.471,0.386,0.599,0.4,0.59,0.561735666,0.438264334,0,7,Tossup,0,1,0.4474,1,0.012160911,0.019206042,0.030640083,0.102174664,0.808849218,0.026969082
TX-08,Rural-suburban mix,0.288442862,0.530316911,0.181240227,0,Kevin Brady,R,0.239,0.727,0.217,0.77,0.26,0.73,1,0,0,28,Solid R,3,0,0,0,0.121359956,0.543860657,0.226346372,0.057414519,0.035233566,0.01578493
TX-09,Urban-suburban mix,0,0.144938738,0.387478362,0.4675829,Al Green,D,0.793,0.18,0.78,0.211,0.76,0.23,0.193562589,0.806437411,0,-29,Solid D,-3,0,1,0,0.006503143,0.010651235,0.017563158,0.051447729,0.899588152,0.014246583
TX-10,Rural-suburban mix,0.294378501,0.276179891,0.31008305,0.119358557,Michael McCaul,R,0.432,0.523,0.388,0.591,0.43,0.56,0.573323736,0.384420985,0.042255278,9,Solid R,3,0,0.0438,0,0.098521775,0.470384149,0.241640945,0.117703539,0.054956833,0.016792758
TX-11,Rural-suburban mix,0.393896821,0.267322402,0.331456906,0.007323871,K. Conaway,R,0.191,0.778,0.196,0.792,0.23,0.76,0.895024562,0,0.104975438,32,Solid R,3,0,0,0,0.164111015,0.576182069,0.137810318,0.072579091,0.035747707,0.013569801
TX-12,Sparse suburban,0.147327945,0.309818024,0.434928808,0.107925223,Kay Granger,R,0.327,0.629,0.317,0.668,0.35,0.64,0.694000671,0.268544584,0.037454745,18,Solid R,3,0,2.00E-04,0,0.032923019,0.099656333,0.546140531,0.262614704,0.04675744,0.011907974
TX-13,Rural-suburban mix,0.396134867,0.312739229,0.276168168,0.014957737,Mac Thornberry,R,0.169,0.799,0.185,0.802,0.22,0.77,0.899693548,0,0.100306452,33,Solid R,3,0,0,0,0.098601817,0.787399363,0.06427135,0.02824028,0.015381788,0.006105401
TX-14,Sparse suburban,0.207021002,0.339732334,0.413132072,0.040114592,Randy Weber,R,0.384,0.582,0.395,0.593,0.42,0.57,0.618560949,0.381439051,0,12,Solid R,3,0,0.0093,0,0.045541462,0.173150202,0.604780348,0.129319498,0.036149151,0.01105934
TX-15,Sparse suburban,0.1713338,0.545815016,0.282851185,0,Vicente Gonzalez,D,0.567,0.4,0.574,0.415,0.57,0.42,0.376816412,0.573093155,0.050090433,-7,Solid D,-3,0,0.9993,0,0.066014321,0.242083268,0.561739625,0.076668696,0.038196601,0.015297489
TX-16,Dense suburban,0.024687869,0.274728137,0.478476443,0.222107551,Beto O'Rourke,D,0.679,0.272,0.642,0.345,0.64,0.35,0,0.857323845,0.142676155,-17,Solid D,-3,0,0.9999,0,0.01040621,0.022921313,0.082161363,0.834859152,0.042069105,0.007582858
TX-17,Rural-suburban mix,0.315147825,0.286108908,0.314597389,0.084145878,Bill Flores,R,0.388,0.563,0.377,0.604,0.41,0.58,0.608058504,0.352434399,0.039507097,12,Solid R,3,0,0.0032,0,0.096800206,0.56207387,0.199279427,0.087906944,0.040620689,0.013318864
TX-18,Dense suburban,0.005412291,0.173471911,0.602402345,0.218713453,Sheila Jackson Lee,D,0.765,0.2,0.761,0.228,0.77,0.23,0.236437144,0.734954089,0.028608767,-27,Solid D,-3,0,1,0,0.014440311,0.026580521,0.0619615,0.824514288,0.060338161,0.01216522
TX-19,Rural-suburban mix,0.378785634,0.242827011,0.317904467,0.060482888,Jodey Arrington,R,0.235,0.725,0.25,0.736,0.28,0.71,0.866514314,0,0.133485686,27,Solid R,3,0,0,0,0.160141307,0.548971948,0.145782497,0.085778843,0.043702561,0.015622845
TX-20,Dense suburban,8.78E-04,0.141511038,0.622116492,0.235494967,Joaquin Castro,D,0.61,0.343,0.589,0.397,0.58,0.41,0,0.797361312,0.202638688,-10,Solid D,-3,0,0.9997,0,0.020907517,0.036840806,0.078373933,0.751304212,0.093568818,0.019004715
TX-21,Dense suburban,0.283819983,0.181396678,0.360193109,0.17459023,Lamar Smith,R,0.425,0.525,0.379,0.598,0.42,0.56,0.57008238,0.364476689,0.065440931,10,Likely R,2,1,0.1263,0,0.108477258,0.259345149,0.225366247,0.260823423,0.116229407,0.029758515
TX-22,Sparse suburban,0.081481522,0.413663155,0.436409187,0.068446135,Pete Olson,R,0.442,0.521,0.367,0.621,0.39,0.6,0.595215731,0.404784269,0,10,Likely R,2,1,0.1186,0,0.014313704,0.04204565,0.843930661,0.075289433,0.01884051,0.005580042
TX-23,Rural-suburban mix,0.364111532,0.374786934,0.245680677,0.015420858,Will Hurd,R,0.498,0.464,0.481,0.507,0.5,0.49,0.482942808,0.469617627,0.047439565,1,Lean R,1,1,0.4529,1,0.01520797,0.961973004,0.014262515,0.004798596,0.002676091,0.001081824
TX-24,Dense suburban,1.11E-04,0.166223731,0.494127083,0.33953859,Kenny Marchant,R,0.445,0.507,0.38,0.604,0.41,0.58,0.561775536,0.393233806,0.044990658,9,Likely R,2,1,0.034,0,0.018854742,0.034021284,0.071420852,0.635157444,0.2176048,0.02294088
TX-25,Rural-suburban mix,0.342303824,0.385620929,0.229142887,0.042932359,Roger Williams,R,0.402,0.551,0.378,0.599,0.43,0.56,0.583463359,0.377416214,0.039120427,11,Solid R,3,0,0.0542,0,0.009344859,0.973384917,0.011073176,0.003438864,0.001973944,7.84E-04
TX-26,Sparse suburban,0.082004196,0.364687043,0.491452104,0.061856657,Michael Burgess,R,0.344,0.609,0.307,0.676,0.35,0.64,0.663563996,0.296185909,0.040250094,18,Solid R,3,0,6.00E-04,0,0.029883358,0.079386139,0.597387264,0.237655142,0.043374487,0.01231361
TX-27,Rural-suburban mix,0.346251541,0.248925625,0.2845267,0.120296134,Michael Cloud,R,0.365,0.601,0.382,0.605,0.4,0.59,0.61692688,0.38307312,0,13,Solid R,3,0,0.0023,0,0.138644224,0.538274005,0.15932987,0.094020112,0.052317765,0.017414024
TX-28,Sparse suburban,0.257379933,0.279116277,0.363171047,0.100332742,Henry Cuellar,D,0.583,0.385,0.603,0.387,0.58,0.41,0.313052342,0.661920821,0.025026838,-9,Solid D,-3,0,0.9997,0,0.078417048,0.319367182,0.359426839,0.167672815,0.058326206,0.016789911
TX-29,Dense suburban,4.58E-04,0.168573437,0.590634228,0.240334155,Gene Green,D,0.711,0.254,0.659,0.33,0.62,0.37,0.239775121,0.724712461,0.035512418,-19,Solid D,-3,0,1,0,0.013366801,0.024438264,0.056037631,0.830278434,0.063861059,0.012017811
TX-30,Dense suburban,0.016538137,0.233212232,0.62013334,0.130116291,Eddie Johnson,D,0.791,0.183,0.796,0.196,0.78,0.21,0.189730654,0.779167009,0.031102337,-29,Solid D,-3,0,0.9999,0,0.025310887,0.049575995,0.136092431,0.706148493,0.066362735,0.01650946
TX-31,Sparse suburban,0.163464144,0.386099246,0.412717153,0.037719457,John Carter,R,0.408,0.535,0.383,0.596,0.43,0.56,0.583510197,0.364920517,0.051569286,10,Lean R,1,1,0.0707,0,0.020601862,0.074494252,0.814935199,0.065744286,0.018485087,0.005739314
TX-32,Dense suburban,9.41E-05,0.159455062,0.506006278,0.334444575,Pete Sessions,R,0.485,0.466,0.415,0.57,0.44,0.55,0.710683289,0,0.289316711,5,Tossup,0,1,0.2982,1,0.018440006,0.033071101,0.06901559,0.659826174,0.197525013,0.022122117
TX-33,Dense suburban,0.003517059,0.165780619,0.586879797,0.243822524,Marc Veasey,D,0.729,0.237,0.72,0.271,0.69,0.31,0.262896755,0.737103245,0,-23,Solid D,-3,0,1,0,0.012901773,0.023570515,0.053619491,0.835166266,0.063080353,0.011661602
TX-34,Rural-suburban mix,0.284365979,0.388333039,0.308560599,0.018740384,Filemon Vela,D,0.592,0.377,0.608,0.383,0.6,0.39,0.37327879,0.62672121,0,-10,Solid D,-3,0,0.9995,0,0.063560897,0.597397821,0.253806317,0.052840072,0.02376916,0.008625734
TX-35,Dense suburban,0.048829619,0.292681546,0.467927047,0.190561789,Lloyd Doggett,D,0.641,0.305,0.63,0.346,0.63,0.35,0.315746852,0.630704134,0.053549014,-15,Solid D,-3,0,0.9999,0,0.016149109,0.038130408,0.165784348,0.719988608,0.049964291,0.009983236
TX-36,Rural-suburban mix,0.459916157,0.243894323,0.279611924,0.016577596,Brian Babin,R,0.252,0.72,0.257,0.732,0.3,0.69,0.886120834,0,0.113879166,26,Solid R,3,0,0,0,0.303657265,0.501202613,0.092901396,0.055612664,0.032921195,0.013704868
UT-01,Sparse suburban,0.25475282,0.302355194,0.405131632,0.037760353,Rob Bishop,R,0.224,0.497,0.204,0.774,0.294,0.677,0.659306915,0.264478925,0.076214161,26,Solid R,3,0,3.00E-04,0,0.074585042,0.290325697,0.416732004,0.155072729,0.048218925,0.015065604
UT-02,Rural-suburban mix,0.293064408,0.270646941,0.274144308,0.162144342,Chris Stewart,R,0.32,0.46,0.292,0.68,0.384,0.585,1.350642529,0.338750402,0.045220903,16,Solid R,3,0,0.0102,0,0.111366639,0.450520059,0.223774378,0.12354747,0.069868772,0.020922682
UT-03,Sparse suburban,0.113804032,0.310286375,0.450304901,0.125604692,John Curtis,R,0.233,0.472,0.195,0.783,0.295,0.675,0,0.265386166,0,25,Solid R,3,0,2.00E-04,0,0.028322744,0.078642837,0.468208912,0.362717198,0.050044573,0.012063736
UT-04,Dense suburban,0.098599318,0.180608621,0.53187519,0.188916871,Mia Love,R,0.324,0.391,0.302,0.672,0.409,0.561,0.537558865,0.413058284,0.049382851,13,Tossup,0,1,0.1524,0,0.008925895,0.018123423,0.042323073,0.89672989,0.028348371,0.005549349
VA-01,Rural-suburban mix,0.315054181,0.446739548,0.234571781,0.003634491,Robert Wittman,R,0.412,0.536,0.434,0.553,0.438,0.554,0.598492155,0.366003302,0.035504543,8,Solid R,3,0,0.0122,0,0.063632063,0.76820104,0.116860289,0.028811335,0.015933104,0.006562169
VA-02,Dense suburban,0.090575491,0.155271336,0.527799792,0.226353381,Scott Taylor,R,0.454,0.488,0.482,0.505,0.479,0.511,0.613169585,0.384496523,0.002333891,3,Tossup,0,1,0.2145,0,0.008631257,0.016664975,0.035386199,0.897498854,0.035622879,0.006195836
VA-03,Dense suburban,0.068027559,0.135902904,0.557539533,0.238530005,Robert Scott,D,0.636,0.319,0.676,0.313,0.654,0.339,0.330661297,0.666953718,0.002384985,-16,Solid D,-3,0,1,0,0.012186838,0.022379133,0.045827041,0.854161246,0.055665969,0.009779774
VA-04,Rural-suburban mix,0.293188129,0.423560814,0.277074627,0.00617643,A. McEachin,D,0.587,0.371,0.603,0.385,0.601,0.391,0.42033868,0.577261544,0.002399776,-10,Solid D,-3,0,0.9993,0,0.062305122,0.681417223,0.189145974,0.039801446,0.019714127,0.007616107
VA-05,Pure rural,0.688245388,0.191476286,0.087367101,0.032911225,Thomas Garrett,R,0.423,0.534,0.459,0.525,0.468,0.522,0.582338514,0.415789105,0.001872381,6,Lean R,1,1,0.4955,1,0.791314893,0.108739242,0.036778116,0.026904176,0.022834407,0.013429165
VA-06,Rural-suburban mix,0.398602453,0.322629807,0.270913349,0.007854392,Bob Goodlatte,R,0.349,0.597,0.395,0.588,0.412,0.577,0.666175219,0.331416787,0.002407994,13,Solid R,3,0,0.0022,0,0.090766073,0.80996902,0.056502938,0.024152376,0.013267393,0.0053422
VA-07,Rural-suburban mix,0.296637319,0.393770032,0.27149223,0.038100419,Dave Brat,R,0.44,0.505,0.441,0.546,0.449,0.543,0.575031183,0.422350208,0.002618609,6,Tossup,0,1,0.3233,1,0.048682159,0.75909459,0.138551472,0.031808183,0.0159402,0.005923396
VA-08,Urban-suburban mix,0.002773914,0.061057238,0.276106386,0.660062462,Donald Beyer,D,0.735,0.209,0.678,0.31,0.663,0.328,0.272776673,0.683842223,0.043381103,-21,Solid D,-3,0,1,0,0.023718284,0.032275519,0.040901341,0.073493256,0.62537871,0.20423289
VA-09,Pure rural,0.689762402,0.28582832,0.024409279,0,H. Griffith,R,0.273,0.688,0.349,0.631,0.397,0.589,0.685850732,0.283175489,0.030973779,19,Solid R,3,0,0.0056,0,0.82601485,0.094627982,0.030840934,0.020495115,0.017392261,0.010628857
VA-10,Sparse suburban,0.152722083,0.363414308,0.419675931,0.064187678,Barbara Comstock,R,0.522,0.422,0.488,0.499,0.496,0.496,0.526823404,0.469142776,0.00403382,-1,Lean D,-1,1,0.7372,1,0.020423721,0.069984574,0.793565831,0.088057761,0.021670733,0.00629738
VA-11,Dense suburban,4.91E-04,0.10444192,0.625928756,0.269137831,Gerald Connolly,D,0.669,0.275,0.625,0.363,0.607,0.385,0,0.877784941,0.122215059,-15,Solid D,-3,0,0.9999,0,0.026630196,0.044982586,0.087460808,0.675045023,0.138798769,0.027082619
VT-AL,Pure rural,0.686158381,0.204506514,0.083493946,0.025841159,Peter Welch,D,0.567,0.303,0.67,0.312,0.678,0.306,0,0,1,-15,Solid D,-3,0,1,0,0.812528401,0.09918222,0.032902279,0.02367164,0.019973259,0.011742201
WA-01,Sparse suburban,0.19901177,0.338325971,0.403876383,0.058785876,Suzan DelBene,D,0.541,0.378,0.541,0.433,0.563,0.419,0.445849719,0.554150281,0,-6,Solid D,-3,0,0.998,0,0.039746313,0.153128163,0.638336358,0.12441694,0.034222961,0.010149264
WA-02,Dense suburban,0.133836566,0.254376189,0.452714522,0.159072723,Rick Larsen,D,0.569,0.348,0.592,0.38,0.605,0.376,0.359837496,0.640162504,0,-10,Solid D,-3,0,0.9995,0,0.028388456,0.07244114,0.236302212,0.58923827,0.060633795,0.012996128
WA-03,Rural-suburban mix,0.293325015,0.22608711,0.380080892,0.100506983,Jaime Herrera Beutler,R,0.425,0.499,0.479,0.496,0.509,0.471,0.617526981,0.382473019,0,4,Lean R,1,1,0.142,0,0.106720312,0.329164929,0.267514189,0.201027446,0.073973356,0.021599768
WA-04,Rural-suburban mix,0.352898474,0.395104133,0.200715578,0.051281816,Dan Newhouse,R,0.351,0.579,0.379,0.597,0.392,0.589,1,0,0,13,Solid R,3,0,0.0039,0,0.015190829,0.962596121,0.013738907,0.004533704,0.002790871,0.001149568
WA-05,Rural-suburban mix,0.295782887,0.235042329,0.345514509,0.123660276,Cathy McMorris Rodgers,R,0.391,0.522,0.437,0.535,0.463,0.512,0.596410269,0.403589731,0,8,Lean R,1,1,0.179,0,0.10948541,0.368329294,0.252527242,0.17444965,0.073796666,0.021411737
WA-06,Rural-suburban mix,0.246637527,0.411457053,0.231126558,0.110778862,Derek Kilmer,D,0.518,0.395,0.561,0.412,0.57,0.409,0.384694693,0.615305307,0,-6,Solid D,-3,0,0.9996,0,0.069794901,0.514953497,0.304139311,0.062952813,0.035579595,0.012579883
WA-07,Urban-suburban mix,0,0.035331312,0.27671227,0.687956418,Pramila Jayapal,D,0.821,0.122,0.792,0.181,0.804,0.18,0,1,0,-33,Solid D,-3,0,1,0,0.026687647,0.035484912,0.044129852,0.07825774,0.530692138,0.284747712
WA-08,Sparse suburban,0.184334606,0.424674259,0.349297794,0.041693341,David Reichert,R,0.477,0.447,0.497,0.481,0.515,0.468,0.601950976,0.398049024,0,0,Tossup,0,1,0.5417,1,0.020678359,0.0946958,0.825062141,0.03985849,0.014787236,0.004917974
WA-09,Dense suburban,0.001667775,0.110337437,0.632191762,0.255803026,Adam Smith,D,0.705,0.233,0.683,0.296,0.686,0.299,0.271125685,0.728874315,0,-21,Solid D,-3,0,1,0,0.026360527,0.044812392,0.088389225,0.687181514,0.127497422,0.02575892
WA-10,Dense suburban,0.090251461,0.306474305,0.562830059,0.040444175,Denny Heck,D,0.513,0.399,0.563,0.411,0.572,0.41,0.413347834,0.586652166,0,-5,Solid D,-3,0,0.9991,0,0.042750826,0.09865879,0.359753507,0.416469619,0.063998227,0.018369031
WI-01,Sparse suburban,0.216341933,0.406644704,0.280898915,0.096114447,Paul Ryan,R,0.423,0.526,0.474,0.516,0.508,0.481,0.649471411,0.302059309,0.04846928,5,Lean R,1,1,0.1783,0,0.049255965,0.30347262,0.537515128,0.067596595,0.031688297,0.010471394
WI-02,Rural-suburban mix,0.29778123,0.329534634,0.243916468,0.128767667,Mark Pocan,D,0.658,0.29,0.683,0.305,0.701,0.286,0.311621364,0.6871753,0.001203336,-18,Solid D,-3,0,1,0,0.082829907,0.639473626,0.168156758,0.061744975,0.035742393,0.012052342
WI-03,Pure rural,0.550307369,0.307538818,0.123467926,0.018685887,Ron Kind,D,0.448,0.493,0.548,0.438,0.594,0.391,0,0.988596997,0.011403003,0,Solid D,-3,0,0.9961,0,0.947441812,0.037239584,0.006838968,0.003948345,0.002990674,0.001540617
WI-04,Urban-suburban mix,0,0.036939577,0.307625139,0.655435284,Gwen Moore,D,0.74,0.218,0.753,0.238,0.744,0.246,0,0.767424514,0.232575486,-25,Solid D,-3,0,1,0,0.023212036,0.03152857,0.04030763,0.076520514,0.649453496,0.178977754
WI-05,Sparse suburban,0.186329325,0.445850878,0.252691957,0.11512784,F. Sensenbrenner,R,0.373,0.574,0.377,0.613,0.418,0.572,0.667033394,0.29289691,0.040069695,13,Solid R,3,0,0.011,0,0.051369196,0.249372638,0.576891137,0.071854466,0.037661636,0.012850927
WI-06,Rural-suburban mix,0.402240886,0.324157122,0.227028134,0.046573857,Glenn Grothman,R,0.388,0.557,0.458,0.531,0.494,0.493,0.571547358,0.372559724,0.055892918,8,Likely R,2,1,0.2372,0,0.065884068,0.878818002,0.030397147,0.013390132,0.008170715,0.003339935
WI-07,Pure rural,0.737411576,0.194792203,0.061157803,0.006638418,Sean Duffy,R,0.373,0.577,0.478,0.509,0.532,0.453,0.616715111,0.382705212,5.80E-04,8,Solid R,3,0,0.0071,0,0.739335268,0.129345764,0.047656964,0.035069278,0.030061862,0.018530863
WI-08,Rural-suburban mix,0.413683499,0.288428576,0.263726707,0.034161218,Mike Gallagher,R,0.386,0.562,0.476,0.513,0.537,0.45,0.62645555,0.372978174,5.66E-04,7,Solid R,3,0,0.004,0,0.147583587,0.720153169,0.069754393,0.034593917,0.019942246,0.007972689
WV-01,Pure rural,0.514883928,0.325892315,0.143057165,0.016166592,David McKinley,R,0.264,0.68,0.355,0.622,0.415,0.567,0.689733885,0.310266115,0,19,Solid R,3,0,8.00E-04,0,0.756207701,0.18784371,0.026402179,0.01417651,0.010288226,0.005081673
WV-02,Pure rural,0.501097351,0.382036401,0.107313218,0.00955303,Alexander Mooney,R,0.294,0.658,0.38,0.6,0.439,0.547,0.581813449,0.418186551,0,17,Solid R,3,0,0.047,0,0.616091865,0.295698249,0.0430575,0.021317869,0.015782082,0.008052435
WV-03,Pure rural,0.6760207,0.212421445,0.098358104,0.013199752,Vacant,Vacant,0.233,0.725,0.328,0.65,0.423,0.557,0.678819478,0.239750738,0.081429784,23,Lean R,1,1,0.0884,0,0.837821146,0.088140641,0.028164816,0.019944167,0.016443221,0.009486008
WY-AL,Pure rural,0.49199954,0.282464509,0.211754475,0.013781476,Liz Cheney,R,0.225,0.701,0.28,0.692,0.327,0.652,0.620297407,0.299734685,0.079967908,25,Solid R,3,0,1.00E-04,0,0.488192509,0.400423352,0.053179284,0.029631847,0.019640318,0.008932689
