CD,Cluster,Very low density,Low density,Medium density,High density,Incumbent,Party,Clinton16,Trump16,Obama12,Romney12,Obama08,McCain08,cong_R16,cong_D16,cong_Other16,PVI,cook_rating,cook_score,is_competitive_cook,D538,is_competitive538,Pure rural,Rural-suburban mix,Sparse suburban,Dense suburban,Urban-suburban mix,Pure urban
NV-04,Urban-suburban mix,0.121382422,0.141853148,0.359355982,0.377408449,Ruben Kihuen,D,0.495,0.446,0.544,0.437,0.564,0.414,0.445099795,0.485186913,0.069713293,-3,Likely D,-2,1,0.8544,0,0.032937089,0.05806821,0.086164116,0.251399765,0.53367445,0.03775637
NY-01,Sparse suburban,0.099837801,0.421734277,0.478427922,0,Lee Zeldin,R,0.422,0.545,0.496,0.491,0.51,0.48,0.489082713,0.390981506,0.119935781,5,Likely R,2,1,0.1098,0,0.03391037,0.094270192,0.689280723,0.135040695,0.035816716,0.011681304
NY-02,Dense suburban,0.008773014,0.101148345,0.660644718,0.229433923,Peter King,R,0.439,0.53,0.516,0.472,0.51,0.48,0,0.349527504,0.650472496,3,Likely R,2,1,0.1609,0,0.031663393,0.053188194,0.10264817,0.654722515,0.128830074,0.028947654
NY-03,Dense suburban,0.00372826,0.241333446,0.448785334,0.30615296,Thomas Suozzi,D,0.516,0.455,0.508,0.482,0.54,0.46,0.41311441,0.529754452,0.057131138,-1,Solid D,-3,0,0.9934,0,0.017998048,0.036082923,0.094797925,0.685359433,0.147509385,0.018252286
NY-04,Urban-suburban mix,0.00680392,0.041115611,0.243759819,0.70832065,Kathleen Rice,D,0.534,0.438,0.563,0.428,0.55,0.44,0,0.581025559,0.418974441,-4,Solid D,-3,0,0.9991,0,0.027433041,0.035929943,0.043598855,0.073048259,0.433589273,0.386400629
NY-05,Pure urban,6.64E-04,0.005074857,0.030752671,0.963508399,Gregory Meeks,D,0.857,0.127,0.906,0.091,0.86,0.14,0.114563422,0.846052862,0.039383715,-37,Solid D,-3,0,1,0,0.004787687,0.00550556,0.005910257,0.007735566,0.019954966,0.956105964
NY-06,Pure urban,4.59E-04,0,0,0.999540533,Grace Meng,D,0.651,0.321,0.678,0.31,0.63,0.36,0.231057947,0.693981513,0.07496054,-16,Solid D,-3,0,0.9999,0,0.010737028,0.012186115,0.012945858,0.016609772,0.040372183,0.907149044
NY-07,Pure urban,0.002767723,9.85E-06,0.004651724,0.992570707,Nydia Vel?quez,D,0.869,0.104,0.884,0.103,0.84,0.15,0.078682395,0.873237137,0.048080468,-38,Solid D,-3,0,1,0,0.009617609,0.010931316,0.011619314,0.014953367,0.036705606,0.916172788
NY-08,Pure urban,2.12E-05,0.002324747,0.024340767,0.973313276,Hakeem Jeffries,D,0.846,0.135,0.893,0.101,0.86,0.14,0,0.882851223,0.117148777,-36,Solid D,-3,0,1,0,0.006119214,0.007012855,0.007510624,0.009789097,0.024856922,0.944711287
NY-09,Pure urban,1.08E-05,0,0.001782886,0.998206317,Yvette Clarke,D,0.835,0.144,0.853,0.138,0.84,0.15,0,0.856920041,0.143079959,-34,Solid D,-3,0,1,0,0.01043248,0.011848427,0.012595838,0.016178642,0.039422007,0.909522607
NY-10,Pure urban,2.49E-05,0,0.001230326,0.998744806,Jerrold Nadler,D,0.783,0.188,0.736,0.25,0.76,0.23,0.187709157,0.730623669,0.081667174,-26,Solid D,-3,0,1,0,0.010538711,0.01196672,0.012719429,0.016331676,0.039759549,0.908683915
NY-11,Pure urban,5.62E-05,0.014616285,0.055056317,0.930271224,Daniel Donovan,R,0.438,0.536,0.516,0.473,0.48,0.51,0.527753027,0.366985627,0.105261345,3,Likely R,2,1,0.2102,0,0.001235283,0.001439905,0.001562369,0.002079778,0.005697008,0.987985658
