CD,Cluster,Very low density,Low density,Medium density,High density,
CT-02,Rural-suburban mix,0.292671126,0.542477089,0.135769658,0.029082127,
CT-03,Sparse suburban,0.012366092,0.390850402,0.365039701,0.231743805,
CT-04,Sparse suburban,0.025013488,0.395969637,0.256974859,0.322042016,
CT-05,Sparse suburban,0.103713515,0.500653998,0.256312092,0.139320395,
DE-AL,Sparse suburban,0.18180583,0.469965069,0.251970964,0.096258138,
FL-01,Rural-suburban mix,0.247701264,0.517930522,0.229029904,0.005338309,
FL-02,Rural-suburban mix,0.454056282,0.331193237,0.158829805,0.055920676,
FL-03,Pure rural,0.537138575,0.30021639,0.129452033,0.033193002,
FL-04,Sparse suburban,0.155761204,0.351823647,0.458490529,0.033924621,
FL-05,Sparse suburban,0.068327145,0.334114697,0.496364996,0.101193161,
FL-06,Sparse suburban,0.190344021,0.530091095,0.271709587,0.007855298,
FL-07,Sparse suburban,0.048507656,0.381637554,0.543807094,0.026047697,
FL-08,Sparse suburban,0.12060512,0.550861969,0.316960856,0.011572055,
FL-09,Sparse suburban,0.100459267,0.452290712,0.39423845,0.053011571,
FL-10,Sparse suburban,0.14305966,0.582982582,0.21074797,0.063209789,
FL-11,Rural-suburban mix,0.264831933,0.529436316,0.205731751,0,
FL-12,Sparse suburban,0.047631851,0.502126195,0.416436583,0.033805372,
FL-13,Dense suburban,0,0.081952433,0.703624275,0.214423292,
FL-14,Dense suburban,0.011885598,0.166410704,0.562589168,0.25911453,
FL-15,Sparse suburban,0.049561338,0.449904071,0.471653319,0.028881272,
FL-16,Sparse suburban,0.042033275,0.456169847,0.448490779,0.053306098,
FL-17,Rural-suburban mix,0.305932459,0.568457595,0.125609945,0,
FL-18,Sparse suburban,0.081154796,0.422952534,0.478317121,0.017575548,
FL-19,Sparse suburban,0.052932084,0.546120937,0.372768873,0.028178107,
FL-20,Urban-suburban mix,0.051275742,0.081093458,0.478764388,0.388866412,
FL-21,Dense suburban,0.008764258,0.146659802,0.576842172,0.267733769,
FL-22,Dense suburban,0.003150514,0.047408129,0.581992518,0.367448839,
FL-23,Urban-suburban mix,8.64763E-05,0.13749557,0.402070822,0.460347131,
FL-24,Urban-suburban mix,0.001830591,0.042350146,0.422159656,0.533659607,
FL-25,Urban-suburban mix,0.09349836,0.184367218,0.260298007,0.461836414,
FL-26,Urban-suburban mix,0.076118398,0.177344524,0.392795893,0.353741184,
FL-27,Urban-suburban mix,0.008607373,0.080661675,0.361625739,0.549105214,
GA-01,Rural-suburban mix,0.428077571,0.397193353,0.144211809,0.030517267,
GA-02,Rural-suburban mix,0.48242283,0.314709604,0.201514861,0.001352704,
GA-03,Rural-suburban mix,0.389282256,0.549807603,0.059840451,0.00106969,
GA-04,Sparse suburban,0.030850656,0.485601001,0.421283051,0.062265291,
GA-05,Dense suburban,0.003408143,0.225824278,0.549051491,0.221716087,
GA-06,Dense suburban,0,0.248025533,0.648693152,0.103281315,
GA-07,Sparse suburban,0,0.635573629,0.348129344,0.016297028,
GA-08,Pure rural,0.553623684,0.341735066,0.10464125,0,
GA-09,Pure rural,0.605057176,0.385437385,0.009505439,0,
GA-10,Pure rural,0.493169741,0.443913697,0.062916562,0,
GA-11,Sparse suburban,0.122144936,0.515870308,0.316891993,0.045092763,
GA-12,Pure rural,0.529761475,0.323475126,0.146763398,0,
GA-13,Sparse suburban,0.033993346,0.70309587,0.257361774,0.005549011,
GA-14,Rural-suburban mix,0.430160524,0.5571178,0.012721676,0,
HI-01,Urban-suburban mix,0.013544257,0.139462688,0.317257581,0.529735474,
HI-02,Rural-suburban mix,0.376624493,0.276290883,0.239848159,0.107236465,
IA-01,Rural-suburban mix,0.408314889,0.352690493,0.218720451,0.020274167,
IA-02,Rural-suburban mix,0.411800196,0.33390658,0.209589029,0.044704196,
IA-03,Sparse suburban,0.242172326,0.31384466,0.387619019,0.056363995,
IA-04,Pure rural,0.56718062,0.297518497,0.087781729,0.047519155,
ID-01,Rural-suburban mix,0.396939341,0.357598931,0.245461728,0,
ID-02,Rural-suburban mix,0.426046134,0.199837013,0.303779616,0.070337237,
IL-01,Urban-suburban mix,0.023867338,0.134470189,0.29929924,0.542363234,
IL-02,Dense suburban,0.078928797,0.294354118,0.378419462,0.248297623,
IL-03,Urban-suburban mix,0.004753784,0.183273779,0.339922093,0.472050344,
IL-04,Pure urban,0,0.015726707,0.07213234,0.912140952,
IL-05,Pure urban,0,0.039229704,0.170700005,0.790070291,
IL-06,Sparse suburban,0.007291454,0.425821499,0.497580562,0.069306485,
IL-07,Pure urban,0,0.013922339,0.13655968,0.849517981,
IL-08,Dense suburban,0.004088121,0.164356687,0.611415423,0.220139768,
IL-09,Urban-suburban mix,0,0.016691116,0.387571527,0.595737357,
IL-10,Sparse suburban,0.013655364,0.375641222,0.472516351,0.138187063,
IL-11,Dense suburban,0.0109818,0.242656641,0.61436857,0.13199299,
IL-12,Rural-suburban mix,0.365223056,0.407030996,0.216534264,0.011211684,
IL-13,Rural-suburban mix,0.295443728,0.341184718,0.265084651,0.098286902,
IL-14,Sparse suburban,0.146493089,0.639712895,0.213794016,0,
IL-15,Pure rural,0.585870203,0.366025639,0.048104158,0,
IL-16,Rural-suburban mix,0.437851812,0.353443427,0.184138631,0.024566131,
IL-17,Rural-suburban mix,0.316600012,0.28224657,0.347902552,0.053250865,
IL-18,Rural-suburban mix,0.452390606,0.344695061,0.184697593,0.01821674,
IN-01,Sparse suburban,0.107385756,0.43346682,0.396789417,0.062358007,
IN-02,Rural-suburban mix,0.321062633,0.434462687,0.232700257,0.011774423,
IN-03,Rural-suburban mix,0.369054079,0.381130608,0.225413163,0.024402151,
IN-04,Rural-suburban mix,0.437392742,0.318999598,0.207229247,0.036378413,
IN-05,Sparse suburban,0.168832882,0.468330361,0.343390189,0.019446568,
