CD,Cluster,Very low density,Low density,Medium density,High density,
NC-12,Sparse suburban,0.019981799,0.431277123,0.47002111,0.078719968,
NC-13,Rural-suburban mix,0.293957293,0.460628534,0.245377355,3.68169E-05,
ND-AL,Rural-suburban mix,0.406233954,0.251826364,0.267155871,0.074783811,
NE-01,Rural-suburban mix,0.34594012,0.207941433,0.358713611,0.087404837,
NE-02,Dense suburban,0.048023214,0.182680893,0.571399878,0.197896016,
NE-03,Pure rural,0.615709341,0.273872652,0.110418006,0,
NH-01,Rural-suburban mix,0.270509032,0.518450052,0.14042573,0.070615186,
NH-02,Pure rural,0.519559397,0.31985291,0.124976272,0.035611421,
NJ-01,Dense suburban,0.023557851,0.259966244,0.529686907,0.186788998,
NJ-02,Rural-suburban mix,0.266995105,0.451997724,0.214811451,0.06619572,
NJ-03,Sparse suburban,0.084626594,0.473435496,0.416662229,0.02527568,
NJ-04,Sparse suburban,0.03753911,0.474140538,0.389279444,0.099040908,
NJ-05,Dense suburban,0.135973627,0.276026719,0.332507995,0.25549166,
NJ-06,Dense suburban,0,0.207548504,0.484299062,0.308152434,
NJ-07,Sparse suburban,0.125322579,0.438906023,0.324904964,0.110866434,
NJ-08,Pure urban,0,0.022365198,0.047716037,0.929918765,
NJ-09,Pure urban,0,0.0574821,0.198180739,0.74433716,
NJ-10,Pure urban,0.005598321,0.009100153,0.108048319,0.877253207,
NJ-11,Sparse suburban,0.01660859,0.473676778,0.366126537,0.143588095,
NJ-12,Dense suburban,0.029981139,0.290500735,0.472836183,0.206681943,
NM-01,Dense suburban,0.108307935,0.143592428,0.490107346,0.257992291,
NM-02,Rural-suburban mix,0.376572774,0.463165742,0.147569194,0.01269229,
NM-03,Pure rural,0.493466744,0.261871226,0.227589754,0.017072276,
NV-01,Urban-suburban mix,0.00034213,0.036677943,0.266702779,0.696277147,
NV-02,Rural-suburban mix,0.25434819,0.269319451,0.290138093,0.186194266,
NV-03,Urban-suburban mix,0.051885113,0.134609777,0.377724722,0.435780388,
NV-04,Urban-suburban mix,0.121382422,0.141853148,0.359355982,0.377408449,
NY-01,Sparse suburban,0.099837801,0.421734277,0.478427922,0,
NY-02,Dense suburban,0.008773014,0.101148345,0.660644718,0.229433923,
NY-03,Dense suburban,0.00372826,0.241333446,0.448785334,0.30615296,
NY-04,Urban-suburban mix,0.00680392,0.041115611,0.243759819,0.70832065,
NY-05,Pure urban,0.000664072,0.005074857,0.030752671,0.963508399,
NY-06,Pure urban,0.000459467,0,0,0.999540533,
NY-07,Pure urban,0.002767723,9.84613E-06,0.004651724,0.992570707,
NY-08,Pure urban,2.12108E-05,0.002324747,0.024340767,0.973313276,
NY-09,Pure urban,1.07972E-05,0,0.001782886,0.998206317,
NY-10,Pure urban,2.48682E-05,0,0.001230326,0.998744806,
NY-11,Pure urban,5.61743E-05,0.014616285,0.055056317,0.930271224,
NY-12,Pure urban,0.002406905,0.001284785,0.0072284,0.98907991,
NY-13,Pure urban,3.82969E-05,0,0,0.999961703,
NY-14,Pure urban,0.011737346,0.003734309,0.023934585,0.960593759,
NY-15,Pure urban,0.000164472,1.17778E-05,0.019051671,0.980772079,
NY-16,Pure urban,0.00096787,0.046986461,0.182072832,0.769972837,
NY-17,Sparse suburban,0.027446357,0.403643592,0.340131816,0.228778234,
NY-18,Rural-suburban mix,0.236775786,0.514605362,0.166748389,0.081870462,
NY-19,Pure rural,0.716382163,0.235260035,0.03440248,0.013955323,
NY-20,Sparse suburban,0.129457717,0.372561278,0.279998142,0.217982863,
NY-21,Pure rural,0.730736536,0.130695908,0.121351997,0.017215558,
NY-22,Rural-suburban mix,0.453761885,0.231161735,0.187938194,0.127138186,
NY-23,Pure rural,0.645880253,0.172679838,0.144099086,0.037340824,
NY-24,Rural-suburban mix,0.304378238,0.294832527,0.259327374,0.141461861,
NY-25,Sparse suburban,0.046819904,0.363784672,0.322067142,0.267328283,
NY-26,Urban-suburban mix,0.012614723,0.147131761,0.40254257,0.437710946,
NY-27,Pure rural,0.481841127,0.349150862,0.162414123,0.006593888,
OH-01,Sparse suburban,0.080112869,0.329518834,0.40858329,0.181785007,
OH-02,Rural-suburban mix,0.295232963,0.272424893,0.320060313,0.112281831,
OH-03,Dense suburban,0.000488347,0.165905569,0.515882913,0.317723171,
OH-04,Rural-suburban mix,0.440972009,0.377845305,0.162593416,0.01858927,
OH-05,Rural-suburban mix,0.426696732,0.309181976,0.221936573,0.042184719,
OH-06,Pure rural,0.659016829,0.257714556,0.083268615,0,
OH-07,Rural-suburban mix,0.414109934,0.393901772,0.150147331,0.041840964,
OH-08,Rural-suburban mix,0.275377447,0.42758096,0.254808714,0.042232878,
